timestamp;timestamp_sample;information_event_changes;gps_checks_passed;reset_vel_to_gps;reset_vel_to_flow;reset_vel_to_vision;reset_vel_to_zero;reset_pos_to_last_known;reset_pos_to_gps;reset_pos_to_vision;starting_gps_fusion;starting_vision_pos_fusion;starting_vision_vel_fusion;starting_vision_yaw_fusion;yaw_aligned_to_imu_gps;reset_hgt_to_baro;reset_hgt_to_gps;reset_hgt_to_rng;reset_hgt_to_ev
7865429073;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7866436878;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7867444775;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7868452553;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7869460446;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7870468367;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7871476512;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7872484064;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7873492147;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7874499813;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7875507956;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7876515496;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7877523663;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7878531222;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7879539327;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7880547017;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7881554813;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7882562766;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7883570550;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7884578415;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7885586260;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7886594231;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7887602050;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7888609854;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7889617711;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7890625638;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7891633431;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7892641333;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7893649179;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7894657090;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7895664897;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7896672814;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7897680689;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7898688427;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7899696372;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7900704243;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7901711993;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7902719897;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7903727753;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7904735558;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7905743447;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7906751334;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7907759244;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7908766998;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7909774921;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7910782756;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7911790578;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7912798452;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7913806297;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7914814126;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7915822017;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7916830141;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7917837698;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7918845799;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7919853417;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7920861526;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7921869091;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7922877231;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7923884799;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7924892840;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7925900484;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7926908624;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7927916292;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7928924021;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7929931959;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7930939720;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7931947606;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7932955469;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7933963313;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7934971033;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7935978962;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7936986810;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7937994664;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7939002422;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7940010327;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7941018130;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7942025938;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7943033901;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7944041664;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7945049479;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7946057336;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7947065179;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7948072986;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7949080812;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7950088679;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7951096479;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7952104307;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7953112253;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7954119969;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7955127815;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7956135650;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7957143504;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7958151331;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7959159114;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7960167234;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7961174774;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7962182838;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7963190472;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7964198523;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7965206054;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7966214229;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7967221848;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7968229904;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7969237353;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7970245450;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7971253154;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7972260872;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
