timestamp;timestamp_sample;control_mode_flags;output_tracking_error[0];output_tracking_error[1];output_tracking_error[2];filter_fault_flags;pos_horiz_accuracy;pos_vert_accuracy;hdg_test_ratio;vel_test_ratio;pos_test_ratio;hgt_test_ratio;tas_test_ratio;hagl_test_ratio;beta_test_ratio;time_slip;accel_device_id;gyro_device_id;baro_device_id;mag_device_id;mag_inclination_deg;mag_inclination_ref_deg;mag_strength_gs;mag_strength_ref_gs;gps_check_fail_flags;solution_status_flags;reset_count_vel_ne;reset_count_vel_d;reset_count_pos_ne;reset_count_pod_d;reset_count_quat;pre_flt_fail_innov_heading;pre_flt_fail_innov_height;pre_flt_fail_innov_pos_horiz;pre_flt_fail_innov_vel_horiz;pre_flt_fail_innov_vel_vert;pre_flt_fail_mag_field_disturbed;health_flags;timeout_flags
7866311097;7866121955;2388605796947;0.00027191;0.0006257668;0.00047326877;0;0.011071351;0.27337682;0.017586818;nan;nan;0.0034317719;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-44.58233;nan;0.28342912;nan;0;165;36;1;36;1;6;0;0;0;0;0;0;0;0
7866320669;7866131852;2388605796947;0.000264463;0.00053816516;0.00051679957;0;0.011307444;0.27360892;0.017586818;nan;nan;0.0034317719;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-44.58233;nan;0.28342912;nan;0;165;36;1;36;1;6;0;0;0;0;0;0;0;0
7866518456;7866329789;2388605796947;0.00020837296;0.0008084874;0.0026592296;0;0.0110713225;0.2730421;0.032732323;nan;nan;0.005805325;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-42.750343;nan;0.27182043;nan;0;165;36;1;36;1;6;0;0;0;0;0;0;0;0
7866716367;7866527726;2388605796947;0.0001303039;0.00062032696;0.0013943707;0;0.010878328;0.27531362;0.06648643;nan;nan;0.0061566597;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-43.485313;nan;0.26850703;nan;0;165;36;1;36;1;6;0;0;0;0;0;0;0;0
7866914586;7866725662;2388605796947;0.00010782832;0.00087059074;0.00045166299;0;0.016669834;0.27472532;0.068917744;nan;nan;0.005026374;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-42.75799;nan;0.27655512;nan;0;165;36;1;36;1;6;0;0;0;0;0;0;0;0
7867112279;7866923599;2388605796947;0.0002098696;0.000911846;0.00048658563;0;0.01632097;0.27498537;0.09335861;nan;nan;0.004745358;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-42.003414;nan;0.26696107;nan;0;165;36;1;36;1;6;0;0;0;0;0;0;0;0
7867310560;7867121536;2388605796947;0.00016328802;0.0010149961;0.0008233153;0;0.015977435;0.27439874;0.089183934;nan;nan;0.0052447044;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-40.943096;nan;0.2692575;nan;0;165;36;1;36;1;6;0;0;0;0;0;0;0;0
7867517934;7867329370;2388605796947;6.266577e-05;0.001084187;0.00096308364;0;0.015977582;0.27490705;0.093825094;nan;nan;0.0055399444;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-43.006393;nan;0.26677364;nan;0;165;36;1;36;1;6;0;0;0;0;0;0;0;0
7867715952;7867527307;2388538688083;0.000120222314;0.00093644223;0.0009969986;0;0.015639964;0.27432224;0.096374385;nan;nan;0.005101022;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-42.010143;nan;0.2701876;nan;0;165;36;1;36;1;6;0;0;0;0;0;0;0;0
7867913849;7867725244;189515432531;0.00013492444;0.001365799;0.0008630926;0;0.023402976;0.27681682;0.092867315;nan;nan;0.005522627;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-42.19511;nan;0.2759325;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
