timestamp;mode_req_angular_velocity;mode_req_attitude;mode_req_local_alt;mode_req_local_position;mode_req_local_position_relaxed;mode_req_global_position;mode_req_global_position_relaxed;mode_req_mission;mode_req_offboard_signal;mode_req_home_position;mode_req_wind_and_flight_time_compliance;mode_req_prevent_arming;mode_req_manual_control;mode_req_other;angular_velocity_invalid;attitude_invalid;local_altitude_invalid;local_position_invalid;local_position_invalid_relaxed;local_velocity_invalid;global_position_invalid;global_position_invalid_relaxed;auto_mission_missing;offboard_control_signal_lost;home_position_invalid;manual_control_signal_lost;gcs_connection_lost;battery_warning;battery_low_remaining_time;battery_unhealthy;geofence_breached;mission_failure;vtol_fixed_wing_system_failure;wind_limit_exceeded;flight_time_limit_exceeded;position_accuracy_low;navigator_failure;fd_critical_failure;fd_esc_arming_failure;fd_imbalanced_prop;fd_motor_failure
7866257230;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7866385105;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7866935026;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7867485120;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7868034906;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7868584985;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7869134892;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7869685910;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7870225499;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7870774971;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7871324906;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7871875112;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7872424966;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7872974895;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7873525339;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7874075099;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7874624893;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7875174971;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7875725115;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7876275066;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7876824925;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7877375340;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7877925926;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7878476063;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7879026473;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7879575947;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7880125965;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7880675894;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7881226173;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7881775923;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7882325959;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7882875899;8312190;8311166;8257918;7995448;262212;56;0;8;16384;32;2621464;3944480;34119;2139095040;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
