timestamp;gyro_rad[0];gyro_rad[1];gyro_rad[2];gyro_integral_dt;accelerometer_timestamp_relative;accelerometer_m_s2[0];accelerometer_m_s2[1];accelerometer_m_s2[2];accelerometer_integral_dt;accelerometer_clipping;gyro_clipping;accel_calibration_count;gyro_calibration_count
7866314865;-0.00026795547;-0.0021648316;0.0045839893;4499;0;6.869481;-3.0177722;-6.2501345;4362;0;0;4;1
7866319411;-0.00589901;0.002037005;-0.002984251;4546;0;6.8945355;-3.036632;-6.2165513;4367;0;0;4;1
7866323864;0.0018153263;0.00030253176;0.003774104;4453;0;6.8924437;-3.0345633;-6.2375274;4356;0;0;4;1
7866328367;0.004299198;0.006184547;-0.0028230774;4503;0;6.873655;-3.0408595;-6.2249246;4361;0;0;4;1
7866332863;-0.0019474615;0.001651082;0.0023466456;4496;0;6.871563;-3.0492587;-6.2501335;4361;0;0;4;1
7866337362;0.0019429763;0.0004975607;0.004409061;4499;0;6.8861847;-3.0114725;-6.2774415;5815;0;0;4;1
7866341908;-0.00072360225;0.0023957475;0.0018183792;4546;0;6.879922;-3.0429578;-6.2144203;4361;0;0;4;1
7866346361;0.0044291927;0.0066550686;-0.006165119;4453;0;6.9196005;-3.042962;-6.2438293;4361;0;0;4;1
7866350860;0.002543719;0.0007333753;0.00831341;4499;0;6.8924465;-3.02826;-6.2081056;4361;0;0;4;1
7866355359;0.0010227556;-0.00054082973;0.0052395184;4499;0;6.8715696;-3.0198693;-6.227024;4360;0;0;4;1
7866359859;0.00020859996;0.0030974555;-0.009357697;4500;0;6.890359;-3.0219674;-6.252234;4361;0;0;4;1
7866364405;0.0030360366;0.0061603743;0.0047404226;4546;0;6.861124;-3.0471575;-6.2585382;4361;0;0;4;1
7866368858;0.0009028345;-0.0010934826;-0.0015055429;4453;0;6.877834;-3.0387619;-6.2270207;4361;0;0;4;1
7866373357;-0.0012037866;0.004599482;-0.0016523026;4499;0;6.8840885;-3.0156696;-6.195505;4361;0;0;4;1
7866377856;0.0012001854;-0.0008950175;0.0011562577;4499;0;6.8987136;-3.0534542;-6.2186184;4362;0;0;4;1
7866382356;0.0010131889;7.045688e-06;-0.0010333837;4500;0;6.890365;-3.051354;-6.239631;4361;0;0;4;1
7866386902;0.0033085053;0.0047619035;0.0025827626;4546;0;6.8846116;-3.0492404;-6.2333293;5817;0;0;4;1
7866391355;7.4750283e-06;0.00027454438;-0.0027149657;4453;0;6.919601;-3.0177674;-6.2249193;4359;0;0;4;1
7866395854;0.0028406351;0.0008171279;0.00085891434;4499;0;6.892449;-3.0513566;-6.235424;4361;0;0;4;1
7866400353;-0.0011102286;-0.0040315962;0.0050026914;4499;0;6.900799;-3.05975;-6.2438293;4361;0;0;4;1
7866404853;0.00083950895;0.003025309;-0.006736869;4500;0;6.884101;-3.0492558;-6.235423;4361;0;0;4;1
7866409399;5.265721e-05;0.0005296893;0.0019618578;4546;0;6.867392;-3.0408604;-6.2564383;4362;0;0;4;1
7866413851;0.0013787044;-0.0012301964;0.0045208475;4452;0;6.8799176;-3.0450597;-6.227023;4361;0;0;4;1
7866418351;0.0018876395;0.010737748;-0.0058954973;4500;0;6.8820066;-3.0555482;-6.2501345;4361;0;0;4;1
7866422850;0.00445482;-0.002434438;0.0060074953;4499;0;6.8987126;-3.0324633;-6.258535;4361;0;0;4;1
7866427350;0.0012273589;0.0023835972;-0.002052409;4500;0;6.877835;-3.0345697;-6.2501345;4361;0;0;4;1
7866431896;-0.0054986123;0.007058359;0.0016152149;4546;0;6.887748;-3.0272171;-6.2333274;5815;0;0;4;1
7866436350;0.0012652602;-0.0052648894;-0.0005800817;4454;0;6.8778315;-3.0303667;-6.2354293;4361;0;0;4;1
7866440848;0.0058512827;0.0023908787;0.003502359;4498;0;6.9175014;-3.0366623;-6.231227;4361;0;0;4;1
7866445347;-0.002587899;0.0025957152;-0.00079334556;4499;0;6.8632154;-3.0513525;-6.2564373;4361;0;0;4;1
