timestamp;timestamp_sample;q[0];q[1];q[2];q[3];delta_q_reset[0];delta_q_reset[1];delta_q_reset[2];delta_q_reset[3];quat_reset_counter
7866315106;7866314865;0.31291357;-0.300353;0.3032158;0.8484889;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866319635;7866319411;0.31291547;-0.30035967;0.3031991;0.8484918;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866369088;7866368858;0.3129068;-0.30035135;0.30320695;0.8484952;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866418588;7866418351;0.31292024;-0.30033955;0.3031892;0.8485008;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866468049;7866467844;0.3129108;-0.30031914;0.30318373;0.8485134;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866517553;7866517337;0.3129239;-0.30031043;0.30319318;0.84850824;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866567082;7866566878;0.31293315;-0.30032212;0.3032032;0.84849703;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866616576;7866616324;0.31294224;-0.30034027;0.30322233;0.8484805;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866670587;7866670317;0.31295937;-0.3003078;0.3032044;0.84849215;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866715552;7866715311;0.31299722;-0.30029526;0.3032095;0.8484807;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866765048;7866764807;0.31300092;-0.30028662;0.30322754;0.84847593;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866819027;7866818799;0.31315404;-0.30021492;0.30323642;0.8484416;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866868518;7866868290;0.31307954;-0.30013093;0.30328846;0.8484802;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866917983;7866917783;0.3129247;-0.3003266;0.30336636;0.84844035;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7866967496;7866967276;0.31304443;-0.30023187;0.3033888;0.8484217;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867017021;7867016817;0.31327266;-0.300189;0.30349797;0.8483136;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867066497;7867066265;0.3133717;-0.30008757;0.3035901;0.84827995;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867115972;7867115756;0.31345066;-0.30005756;0.303642;0.8482427;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867169987;7867169749;0.31352025;-0.30003816;0.30371538;0.84819764;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867219577;7867219289;0.31360835;-0.3000431;0.3037646;0.84814566;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867268986;7867268736;0.31369263;-0.30006912;0.3038288;0.8480823;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867313939;7867313729;0.3137878;-0.29999694;0.3038906;0.8480504;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867368036;7867367726;0.31395778;-0.29991478;0.30393445;0.8480009;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867417495;7867417217;0.31408724;-0.29990846;0.30398944;0.8479355;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867466986;7867466756;0.31419742;-0.29990575;0.30410334;0.84785473;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867520920;7867520701;0.3142877;-0.29984894;0.30413678;0.84782946;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867565969;7867565695;0.31436166;-0.2998581;0.30415338;0.84779286;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867615453;7867615188;0.31443784;-0.29983017;0.30418953;0.8477615;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867664927;7867664682;0.31449565;-0.2998048;0.30420277;0.8477442;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867718923;7867718674;0.314549;-0.29974753;0.30422413;0.847737;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867768421;7867768168;0.31466052;-0.29974693;0.3042508;0.84768635;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867817920;7867817661;0.31475484;-0.2996879;0.30427268;0.8476643;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867867379;7867867154;0.31485587;-0.29964817;0.30429342;0.84763336;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867916894;7867916695;0.31498644;-0.2996137;0.30434665;0.847578;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7867966353;7867966141;0.31533766;-0.29947937;0.30446428;0.8474526;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868015846;7868015634;0.31620046;-0.29917926;0.3047613;0.84713024;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868069822;7868069627;0.3179572;-0.29865974;0.30537435;0.8464349;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868119361;7868119167;0.32042727;-0.29779285;0.30615562;0.8455262;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868164360;7868164161;0.3237777;-0.2965499;0.3071797;0.8443144;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868218313;7868218107;0.32986915;-0.29433277;0.30900288;0.8420641;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868267817;7868267600;0.33794808;-0.29120195;0.31096116;0.8392234;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868317293;7868317093;0.3471179;-0.2862749;0.31204286;0.8367707;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868366829;7868366634;0.35569593;-0.27728963;0.31022337;0.8368707;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868416290;7868416080;0.36201662;-0.26457265;0.29946423;0.8421796;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868465786;7868465573;0.3626367;-0.25099063;0.27599195;0.85400635;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868515272;7868515067;0.35735875;-0.23539464;0.2428334;0.87058383;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868569314;7868569106;0.34793603;-0.21383546;0.20168585;0.890246;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868618766;7868618552;0.3397475;-0.18976687;0.16282769;0.90666837;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868668259;7868668046;0.33344948;-0.16153683;0.12576309;0.92027223;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868717734;7868717539;0.32902905;-0.12994254;0.094137706;0.9305874;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868767238;7868767032;0.32630247;-0.09715575;0.069596015;0.9376801;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868816772;7868816573;0.32491317;-0.06587222;0.052940387;0.9419606;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868866230;7868866019;0.32434997;-0.039108172;0.042968273;0.9441512;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868920236;7868920012;0.32426903;-0.016471997;0.036772136;0.94510645;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7868969719;7868969506;0.32418737;-0.0031056523;0.032594997;0.9454261;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869014724;7869014499;0.324024;0.002782504;0.029173704;0.94559485;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869064236;7869064039;0.32312337;0.003640414;0.023951335;0.9460467;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869118193;7869117985;0.3216194;5.5574274e-05;0.017148785;0.9467138;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869167687;7869167478;0.3196433;-0.004938193;0.010320188;0.9474689;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869217171;7869216971;0.3174507;-0.008797337;0.0042450856;0.94822454;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869266717;7869266512;0.31494823;-0.0106555475;0.00011795409;0.949049;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869316123;7869315958;0.31245753;-0.010075508;-0.0023540251;0.94987535;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869365680;7869365451;0.30981106;-0.007399204;-0.0029741991;0.9507648;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869415167;7869414945;0.30712628;-0.0031207413;-0.0026485196;0.95166004;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869469183;7869468984;0.30418196;0.001720888;-0.0019321346;0.9526105;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869518639;7869518431;0.30127752;0.005476495;-0.0009110162;0.95352036;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869568137;7869567924;0.29829454;0.008060144;-0.00022991639;0.9544399;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869617633;7869617417;0.29539472;0.009067945;-0.00016925474;0.95533234;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869667112;7869666911;0.29247922;0.008520334;-0.0001669303;0.9562339;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869716647;7869716451;0.2894746;0.007338525;-0.00018006416;0.95715755;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869766111;7869765897;0.28670338;0.00565882;-0.0003182884;0.9580027;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869820100;7869819890;0.28363165;0.0033290533;-0.0006105992;0.9589274;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869865096;7869864884;0.28103122;0.0018947691;-0.00057288876;0.9596966;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869914573;7869914377;0.27837685;0.0006504704;-0.00040913033;0.9604717;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7869968575;7869968370;0.27549928;-1.0295519e-05;-0.00034912676;0.9613012;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870018123;7870017863;0.2728429;-0.00051657646;-0.0003026272;0.9620585;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870067601;7870067356;0.27043656;-0.0009042662;-0.00011498377;0.9627374;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870117091;7870116850;0.26782817;-0.0021539738;1.5020553e-05;0.9634643;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870166584;7870166390;0.2652101;-0.0036666577;0.00020239298;0.96418375;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870216044;7870215836;0.26273572;-0.005444589;0.00053212146;0.96485233;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870265542;7870265330;0.26027575;-0.0068193874;0.0010263668;0.9655098;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870319562;7870319322;0.25763977;-0.007556182;0.001900927;0.9662097;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870369099;7870368863;0.25544202;-0.007712862;0.0025807347;0.96679026;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870418552;7870418309;0.25322643;-0.0073456746;0.0028716759;0.9673749;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870468061;7870467802;0.25084737;-0.0065175174;0.0029836383;0.9680001;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870517545;7870517296;0.24867404;-0.0056666285;0.0029294994;0.96856624;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870567023;7870566789;0.24659948;-0.0047795796;0.00289203;0.9691015;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870616553;7870616329;0.24448557;-0.0040217466;0.002570942;0.96964115;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870670486;7870670275;0.24212447;-0.0033408462;0.002028072;0.9702374;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870719989;7870719768;0.23997074;-0.0027225977;0.0014452651;0.9707753;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870765011;7870764762;0.23806937;-0.0022237303;0.0009624581;0.9712451;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870814486;7870814255;0.2361098;-0.0018143522;0.00052552845;0.9717246;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870868465;7870868248;0.23395775;-0.0020442605;-0.0003740384;0.97224456;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870918003;7870917741;0.23192942;-0.0026915695;-0.0017164561;0.9727274;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7870967446;7870967235;0.23001684;-0.0039539137;-0.0033708545;0.97317284;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871016925;7871016728;0.22814378;-0.0057218513;-0.005527382;0.97359496;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871066472;7871066268;0.22607185;-0.0074957716;-0.0070971106;0.97405595;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871115932;7871115715;0.22389655;-0.009224917;-0.008537708;0.9745318;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871165439;7871165208;0.22187872;-0.010270832;-0.008658274;0.9749818;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871219435;7871219200;0.21976559;-0.010896978;-0.0073125786;0.9754645;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871268939;7871268741;0.21808186;-0.0102115;-0.0041368366;0.97586834;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871318399;7871318187;0.21657276;-0.008881176;-0.0006755099;0.97622585;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871367898;7871367681;0.21522944;-0.007786989;0.0022781133;0.9765298;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871417384;7871417174;0.21377105;-0.006965354;0.0042555355;0.9768497;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
7871466872;7871466667;0.21212521;-0.006191613;0.005365099;0.97720826;0.9809278;-2.6170808e-08;2.0347981e-08;-0.19437246;6
