timestamp;timestamp_sample;accel_device_id;gyro_device_id;delta_angle[0];delta_angle[1];delta_angle[2];delta_velocity[0];delta_velocity[1];delta_velocity[2];delta_angle_dt;delta_velocity_dt;delta_angle_clipping;delta_velocity_clipping;accel_calibration_count;gyro_calibration_count
7866498181;7866498035;2490378;2490378;-4.056612e-05;-4.114744e-06;-1.3027956e-05;0.033103686;-0.015387629;-0.031987075;4948;4948;0;0;3;1
7866997971;7866997826;2490378;2490378;-1.560824e-05;1.0972689e-05;-5.0759518e-05;0.033593353;-0.015152529;-0.032801006;4949;4949;0;0;3;1
7867497758;7867497616;2490378;2490378;-2.3793335e-05;4.0425017e-05;-3.695742e-05;0.032869823;-0.015802667;-0.029181302;4948;4948;0;0;3;1
7867997551;7867997407;2490378;2490378;9.950835e-05;-0.00010419986;-0.00017968897;0.034461215;-0.015499905;-0.03241632;4949;4949;0;0;3;1
7868497739;7868497198;2490378;2490378;-0.0064328373;-0.005070382;0.0014861927;0.031485133;-0.013791339;-0.03982188;4949;4949;0;0;3;1
7868997161;7868996989;2490378;2490378;-0.0005297495;-0.0017463213;-0.0003098842;8.494464e-05;-0.003185338;-0.038238093;4949;4949;0;0;3;1
7869501876;7869501728;2490378;2490378;0.00014097124;-0.0007590831;-0.00016736632;0.006457579;0.0018122826;-0.045175664;4949;4949;0;0;3;1
7869996716;7869996570;2490378;2490378;-4.6792998e-06;-0.00012398133;-9.278771e-05;0.0006054511;0.0050162417;-0.033677682;4948;4948;0;0;3;1
7870491555;7870491413;2490378;2490378;-3.6578225e-05;0.00027507872;9.720161e-05;0.005215856;-0.001255015;-0.054768175;4949;4949;0;0;3;1
7870996295;7870996152;2490378;2490378;-0.0004939566;0.00037508635;-4.2822176e-05;-0.0010304784;0.0033689842;-0.03944937;4948;4948;0;0;3;1
7871496088;7871495943;2490378;2490378;0.00014413377;-0.00021228155;-0.00017585511;-0.0115930475;0.0001985622;-0.034890838;4948;4948;0;0;3;1
7872000848;7872000682;2490378;2490378;-0.002189945;-0.0005315723;-9.018795e-05;0.0013705872;-0.0008939081;-0.055146817;4948;4948;0;0;3;1
7872500616;7872500474;2490378;2490378;0.00085056847;0.0006566679;-0.00029102847;-0.00082404993;-0.00501641;-0.057194095;4949;4949;0;0;3;1
7873000438;7873000265;2490378;2490378;0.0042424626;-0.00029597976;-0.0003777383;0.0014705741;-0.0057726246;-0.035358127;4949;4949;0;0;3;1
7873495260;7873495107;2490378;2490378;0.0058086547;-0.0005269724;-0.00043772976;-0.0021746524;0.0029359052;-0.03418575;4948;4948;0;0;3;1
7873995045;7873994899;2490378;2490378;-0.0025780327;-0.005338476;0.00021470973;-0.014089468;0.0031675405;-0.03456425;4949;4949;0;0;3;1
7874499932;7874499638;2490378;2490378;-0.00054597843;0.0045051593;-0.00019384458;-0.0070169633;0.00086441025;-0.035128437;4948;4948;0;0;3;1
7874999571;7874999429;2490378;2490378;-0.00036550398;0.00041392725;-0.00027467337;-0.0040759244;0.0021672808;-0.049719803;4948;4948;0;0;3;1
7875499365;7875499220;2490378;2490378;0.00031815536;-0.0005038543;-0.0023259681;0.0053301356;0.010566776;-0.04909036;4948;4948;0;0;3;1
7875999285;7875999011;2490378;2490378;0.001407055;-0.0032623077;-0.002914648;-0.010725551;0.00026068246;-0.044956595;4948;4948;0;0;3;1
7876498974;7876498804;2490378;2490378;0.0027421685;-0.0022903755;-0.0028357946;0.013346456;0.008629927;-0.064466216;4950;4950;0;0;3;1
7876998740;7876998594;2490378;2490378;-1.4171118e-06;0.0022217531;-0.00059141824;-0.0008292192;0.0033689355;-0.058028337;4949;4949;0;0;3;1
7877498530;7877498387;2490378;2490378;0.00048625318;0.0013371033;0.0006517814;-0.0055011846;-0.007091946;-0.04812304;4951;4951;0;0;3;1
7877998399;7877998176;2490378;2490378;-0.0010345879;5.7612255e-05;0.0021467046;0.002076306;-0.0044426783;-0.04571636;4948;4948;0;0;3;1
7878498113;7878497967;2490378;2490378;0.0009876038;-0.0003687225;0.0018451476;-0.0065653524;0.012066877;-0.039215595;4948;4948;0;0;3;1
7878997904;7878997758;2490378;2490378;-0.003251378;0.0035605624;0.0010339806;0.0024363287;-0.006703436;-0.064144716;4948;4948;0;0;3;1
7879497691;7879497549;2490378;2490378;0.0015672909;0.00068318093;0.0024288048;-0.003425657;0.00522437;-0.05384992;4948;4948;0;0;3;1
7879997482;7879997340;2490378;2490378;-0.002236461;-0.005360844;0.0033597182;0.0052247522;0.006109603;-0.05272357;4948;4948;0;0;3;1
7880497275;7880497131;2490378;2490378;0.0014323973;0.0020770372;0.0009540813;-0.0038883744;-0.0017306786;-0.0338382;4948;4948;0;0;3;1
7880997093;7880996922;2490378;2490378;0.0001997235;0.0010716389;0.00015903424;-0.0058250567;0.0045799194;-0.0452495;4948;4948;0;0;3;1
7881496864;7881496713;2490378;2490378;-0.0008921014;4.0901956e-05;1.6102098e-05;-0.0005495099;-0.0055173407;-0.07265259;4948;4948;0;0;3;1
7881996646;7881996504;2490378;2490378;0.00045955818;0.00041391465;-0.00016115457;-0.0033311443;-0.003579364;-0.045088682;4948;4948;0;0;3;1
7882496437;7882496295;2490378;2490378;0.00015189701;0.00056709757;-2.2247772e-05;-0.0039146594;-0.0065062284;-0.051516715;4948;4948;0;0;3;1
7883001182;7883001034;2490378;2490378;-0.0012985156;-0.0057387734;0.00014203676;0.0043142973;-0.006986309;-0.047251042;4948;4948;0;0;3;1
7883496018;7883495876;2490378;2490378;-0.0018101672;0.0012589543;9.866472e-05;0.007418453;-0.001123471;-0.050075363;4948;4948;0;0;3;1
7883995814;7883995667;2490378;2490378;0.008387221;0.000742293;-0.0003636591;-0.016635144;0.012817168;-0.015238663;4948;4948;0;0;3;1
7884495624;7884495458;2490378;2490378;0.0036972337;-0.001944174;-0.0001762804;-0.01345719;0.0026557422;-0.053995408;4949;4949;0;0;3;1
7884995406;7884995249;2490378;2490378;-0.0027142104;0.003484229;-0.00012919374;0.010760212;-0.0035836797;-0.060819156;4949;4949;0;0;3;1
7885500135;7885499987;2490378;2490378;-0.00028370065;0.0006602294;0.00010996992;0.005502576;0.005116493;-0.0341973;4948;4948;0;0;3;1
7886000352;7885999778;2490378;2490378;-0.00249023;-0.008642967;-0.00047734616;-0.009974703;0.0050132424;-0.04713939;4948;4948;0;0;3;1
7886499711;7886499568;2490378;2490378;0.00089792936;0.00048331177;-8.0332306e-05;-0.0010560963;-0.0035591507;-0.052656196;4948;4948;0;0;3;1
7886999511;7886999359;2490378;2490378;-0.00090717466;0.0013357189;-0.0015748462;-0.012719429;-0.00040088344;-0.033417404;4949;4949;0;0;3;1
7887494346;7887494200;2490378;2490378;0.00088504923;-0.0015919773;-0.000996674;-0.020364204;0.003293241;-0.061798107;4948;4948;0;0;3;1
7887999163;7887998939;2490378;2490378;0.00028533873;0.0002076852;-0.001834005;-0.014064789;-0.0076762945;-0.051177632;4949;4949;0;0;3;1
7888498894;7888498729;2490378;2490378;-0.0011104343;-0.0023777657;-0.002664288;-0.011165241;-0.0011861835;-0.05239039;4948;4948;0;0;3;1
7888998682;7888998519;2490378;2490378;-0.0036236113;0.010332663;-0.0024326427;-0.008587292;0.013161013;-0.041780133;4948;4948;0;0;3;1
7889498454;7889498309;2490378;2490378;-0.0043461807;-0.0018109567;0.0015359324;0.0029400638;0.008374135;-0.022466812;4948;4948;0;0;3;1
7889998328;7889998099;2490378;2490378;0.0006434345;-0.001156442;0.0012038474;0.012839781;0.0069551812;-0.04942778;4949;4949;0;0;3;1
7890498080;7890497889;2490378;2490378;0.0050794603;-0.0029815617;0.0014246914;-0.011482309;0.0007539566;-0.02804262;4949;4949;0;0;3;1
7890997837;7890997678;2490378;2490378;0.002351646;0.0016310307;0.0014917348;-0.021142446;-0.006647165;-0.037258808;4948;4948;0;0;3;1
7891497630;7891497468;2490378;2490378;-0.00027347967;0.0021617962;-0.00052928017;0.0030805734;-0.024691954;-0.044895265;4949;4949;0;0;3;1
7891997616;7891997257;2490378;2490378;-0.004694218;-0.0034195282;0.00060855586;0.0033854563;-0.0003430823;-0.036360845;4948;4948;0;0;3;1
7892497463;7892497047;2490378;2490378;0.00020484584;-6.332125e-05;-0.00014399007;0.002647817;-0.002388078;-0.041422747;4949;4949;0;0;3;1
7892996980;7892996836;2490378;2490378;0.0006385542;0.00073175965;-9.894252e-05;-0.011026267;-0.00148379;-0.036788687;4948;4948;0;0;3;1
7893496817;7893496625;2490378;2490378;-0.0026797291;-0.0018713636;0.00045677408;0.0059520416;0.012647901;-0.032666;4948;4948;0;0;3;1
7894001503;7894001363;2490378;2490378;-0.00095049996;-0.00023354923;0.00043821958;-0.00095936196;-0.0013315993;-0.044183683;4948;4948;0;0;3;1
7894496346;7894496203;2490378;2490378;0.0024256576;0.0025756632;-0.000754837;-0.0029805985;-0.020724375;-0.059664737;4948;4948;0;0;3;1
7894996181;7894995992;2490378;2490378;-0.0019472;-0.0012761648;0.00043044426;0.0014853504;0.007155499;-0.04389012;4948;4948;0;0;3;1
7895495948;7895495781;2490378;2490378;-0.0006666034;0.00081100804;0.00024374263;0.0013231642;0.0059769196;-0.064255744;4948;4948;0;0;3;1
7895995713;7895995570;2490378;2490378;0.0005438749;-0.00013428032;0.00017500734;0.00043241776;0.003231676;-0.059969198;4948;4948;0;0;3;1
7896500451;7896500307;2490378;2490378;0.000114304356;0.00027463702;3.8048162e-07;-0.0022002838;0.004606649;-0.052361924;4948;4948;0;0;3;1
7897000267;7897000096;2490378;2490378;-7.871357e-05;-0.00021200112;-7.440572e-05;-0.0005792983;-0.004347616;-0.052166246;4949;4949;0;0;3;1
7897500027;7897499884;2490378;2490378;-6.320124e-05;-0.00016784701;-0.0014210049;0.0016963292;-0.0018930868;-0.044357456;4948;4948;0;0;3;1
7897994869;7897994724;2490378;2490378;0.002830388;-0.0004974056;-0.002260211;0.0010287866;-0.0026460341;-0.042568114;4948;4948;0;0;3;1
7898499748;7898499461;2490378;2490378;-0.003432068;0.0023035167;-0.0018853627;-0.006788467;0.0015373591;-0.044514466;4949;4949;0;0;3;1
7898999392;7898999249;2490378;2490378;0.0069403653;-0.0013031671;-0.002861244;-0.002565996;-0.012146873;-0.058917;4949;4949;0;0;3;1
7899499183;7899499037;2490378;2490378;-0.0024307957;0.0057977485;-0.0031096828;-0.0003941674;0.00016947345;-0.034340113;4949;4949;0;0;3;1
7899999000;7899998825;2490378;2490378;0.00035837744;-0.0007288661;-0.0037489953;0.0112140095;-0.005845285;-0.047415476;4948;4948;0;0;3;1
7900498763;7900498612;2490378;2490378;-0.00372575;-0.006005647;-0.0037800064;0.0023358187;-0.0022290463;-0.04700534;4948;4948;0;0;3;1
7900998547;7900998400;2490378;2490378;0.001878178;-0.0018948838;0.0009990429;-0.0059602987;-0.0004076851;-0.0633303;4947;4947;0;0;3;1
