timestamp;freefall;ground_contact;maybe_landed;landed;in_ground_effect;in_descend;has_low_throttle;vertical_movement;horizontal_movement;rotational_movement;close_to_ground_or_skipped_check;at_rest
7866266008;0;1;1;1;0;0;1;0;0;0;1;1
7867273908;0;1;1;1;0;0;1;0;0;0;1;1
7867417831;0;1;1;1;0;0;1;0;0;0;1;0
7867993835;0;1;0;0;0;0;1;0;0;0;1;0
7868236694;0;0;0;0;0;0;0;0;0;0;1;0
7869244659;0;0;0;0;0;0;0;0;0;0;1;0
7870252408;0;0;0;0;0;0;0;0;0;0;1;0
7871260395;0;0;0;0;0;0;0;0;0;0;1;0
7872268213;0;0;0;0;0;0;0;0;0;1;1;0
7873275990;0;0;0;0;0;0;0;0;0;1;1;0
7874283866;0;0;0;0;0;0;0;0;0;1;1;0
7875291794;0;0;0;0;0;0;0;0;0;0;1;0
7876299577;0;0;0;0;0;0;0;0;0;1;1;0
7877307477;0;0;0;0;0;0;0;0;0;1;1;0
7878315381;0;0;0;0;0;0;0;0;0;1;1;0
7879323276;0;0;0;0;0;0;0;0;0;1;1;0
7880331048;0;0;0;0;0;0;0;0;0;1;1;0
7881339213;0;0;0;0;0;0;0;0;0;0;1;0
7882346889;0;0;0;0;0;0;0;0;0;0;1;0
7883354955;0;0;0;0;0;0;0;0;0;1;1;0
7884362493;0;0;0;0;0;0;0;0;0;1;1;0
7885370677;0;0;0;0;0;0;0;0;0;0;1;0
7886378277;0;0;0;0;0;0;0;0;0;1;1;0
7887386367;0;0;0;0;0;0;0;0;0;0;1;0
7888394019;0;0;0;0;0;0;0;0;0;1;1;0
7889402152;0;0;0;0;0;0;0;0;0;1;1;0
7890409678;0;0;0;0;0;0;0;0;0;1;1;0
7891417556;0;0;0;0;0;0;0;0;0;1;1;0
7892425456;0;0;0;0;0;0;0;0;0;0;1;0
7893433276;0;0;0;0;0;0;0;0;0;1;1;0
7894441164;0;0;0;0;0;0;0;0;0;1;1;0
7895448973;0;0;0;0;0;0;0;0;0;0;1;0
7896456812;0;0;0;0;0;0;0;0;0;0;1;0
7897464677;0;0;0;0;0;0;0;0;0;0;1;0
7898472570;0;0;0;0;0;0;0;0;0;1;1;0
7899480406;0;0;0;0;0;0;0;0;0;1;1;0
7900488220;0;0;0;0;0;0;0;0;0;1;1;0
7901496151;0;0;0;0;0;0;0;0;0;1;1;0
7902504055;0;0;0;0;0;0;0;0;0;1;1;0
7903511822;0;0;0;0;0;0;0;0;0;1;1;0
7904519865;0;0;0;0;0;0;0;0;0;1;1;0
7905527606;0;0;0;0;0;0;0;0;0;0;1;0
7906535432;0;0;0;0;0;0;0;0;0;0;1;0
7907543391;0;0;0;0;0;0;0;0;0;0;1;0
7908551223;0;0;0;0;0;0;0;0;0;1;1;0
7909559020;0;0;0;0;0;0;0;0;0;0;1;0
7910566676;0;0;0;0;0;0;0;0;0;1;1;0
7911574747;0;0;0;0;0;0;0;0;0;1;1;0
7912582595;0;0;0;0;0;0;0;0;0;1;1;0
7913590401;0;0;0;0;0;0;0;0;0;1;1;0
7914598352;0;0;0;0;0;0;0;0;0;1;1;0
7915606054;0;0;0;0;0;0;0;0;0;1;1;0
7916613908;0;0;0;0;0;0;0;0;0;1;1;0
7917621826;0;0;0;0;0;0;0;0;0;0;1;0
7918629709;0;0;0;0;0;0;0;0;0;0;1;0
7919642060;0;0;0;0;0;0;0;0;0;1;1;0
7920645308;0;0;0;0;0;0;0;0;0;0;1;0
7921653233;0;0;0;0;0;0;0;0;0;1;1;0
7922661087;0;0;0;0;0;0;0;0;0;1;1;0
7923668906;0;0;0;0;0;0;0;0;0;1;1;0
7924676789;0;0;0;0;0;0;0;0;0;1;1;0
7925684531;0;0;0;0;0;0;0;0;0;0;1;0
7926692630;0;0;0;0;0;0;0;0;0;0;1;0
7927700288;0;0;0;0;0;0;0;0;0;0;1;0
7928708402;0;0;0;0;0;0;0;0;0;1;1;0
7929715961;0;0;0;0;0;0;0;0;0;1;1;0
7930724083;0;0;0;0;0;0;0;0;0;1;1;0
7931731652;0;0;0;0;0;0;0;0;0;0;1;0
7932739739;0;0;0;0;0;0;0;0;0;1;1;0
7933747307;0;0;0;0;0;0;0;0;0;1;1;0
7934755464;0;0;0;0;0;0;0;0;0;0;1;0
7935762970;0;0;0;0;0;0;0;0;0;0;1;0
7936770847;0;0;0;0;0;0;0;0;0;0;1;0
7937778719;0;0;0;0;0;0;0;0;0;0;1;0
7938786543;0;0;0;0;0;0;0;0;0;0;1;0
7939794382;0;0;0;0;0;0;0;0;0;0;1;0
7940802300;0;0;0;0;0;0;0;0;0;0;1;0
7941810060;0;0;0;0;0;0;0;0;0;0;1;0
7942817872;0;0;0;0;0;0;0;0;0;1;1;0
7943825703;0;0;0;0;0;0;0;0;0;1;1;0
7944833677;0;0;0;0;0;0;0;0;0;0;1;0
7945841341;0;0;0;0;0;0;0;0;0;1;1;0
7946849212;0;0;0;0;0;0;0;0;0;0;1;0
7947857126;0;0;0;0;0;0;0;0;0;1;1;0
7948864935;0;0;0;0;0;0;0;0;0;0;1;0
7949872776;0;0;0;0;0;0;0;0;0;1;1;0
7950880549;0;0;0;0;0;0;0;0;0;1;1;0
7951888454;0;0;0;0;0;0;0;0;0;0;1;0
7952896261;0;0;0;0;0;0;0;0;0;1;1;0
7953904107;0;0;0;0;0;0;0;0;0;1;1;0
7954911953;0;0;0;0;0;0;0;0;0;0;1;0
7955919763;0;0;0;0;0;0;0;0;0;0;1;0
7956927538;0;0;0;0;0;0;0;0;0;1;1;0
7957935430;0;0;0;0;0;0;0;0;0;1;1;0
7958943213;0;0;0;0;0;0;0;0;0;0;1;0
7959951048;0;0;0;0;0;0;0;0;0;0;1;0
7960958907;0;0;0;0;0;0;0;0;0;0;1;0
7961966788;0;0;0;0;0;0;0;0;0;1;1;0
7962974558;0;0;0;0;0;0;0;0;0;0;1;0
7963982407;0;0;0;0;0;0;0;0;0;1;1;0
7964990248;0;0;0;0;0;0;0;0;0;0;1;0
7965997973;0;0;0;0;0;0;0;0;0;1;1;0
