timestamp;unallocated_torque[0];unallocated_torque[1];unallocated_torque[2];unallocated_thrust[0];unallocated_thrust[1];unallocated_thrust[2];handled_motor_failure_mask;motor_stop_mask;torque_setpoint_achieved;thrust_setpoint_achieved;actuator_saturation[0];actuator_saturation[1];actuator_saturation[2];actuator_saturation[3];actuator_saturation[4];actuator_saturation[5];actuator_saturation[6];actuator_saturation[7];actuator_saturation[8];actuator_saturation[9];actuator_saturation[10];actuator_saturation[11];actuator_saturation[12];actuator_saturation[13];actuator_saturation[14];actuator_saturation[15]
1250838382;-0.26128748;-0.2606915;0.1987985;0.0;0.0;3.7252903e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
1250844360;-0.26169947;-0.26164994;0.19881824;0.0;0.0;6.556376e-17;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
1251036725;-0.26237825;-0.26180187;0.19888596;0.0;0.0;4.4454476e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
1251234275;-0.26118255;-0.26109728;0.1988876;0.0;0.0;3.7252903e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
1251438232;-0.2634307;-0.26329625;0.20003049;0.0;0.0;6.6640456e-17;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
1251642235;-0.2609535;-0.26121294;0.19909018;0.0;0.0;3.3459828e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
1251838643;-0.2612266;-0.26316288;0.1983165;0.0;0.0;3.7252903e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
1252036597;-0.24872285;-0.25946248;0.12925619;0.0;0.0;2.7622569e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
1252240554;-0.24278712;-0.262663;0.10682963;0.0;0.0;3.72529e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
1252438511;-0.2386249;-0.18258241;0.10368889;0.0;0.0;7.450581e-09;0;0;0;1;-2;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
1252636466;-0.2527787;-0.105437845;0.11103076;0.0;0.0;1.4901161e-08;0;0;0;1;-2;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
1252838928;-0.26954806;-1.4901161e-08;0.15081699;0.0;0.0;-1.4901161e-08;0;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
1253036927;-0.30277523;1.4901161e-08;0.21008398;0.0;0.0;0.0;0;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
1253241314;-0.13937145;0.0;0.21104948;0.0;0.0;-1.4901161e-08;0;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
1253438793;-1.1175871e-08;7.450581e-09;0.0;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1253636795;-7.450581e-09;-7.450581e-09;4.8894435e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
