timestamp;timestamp_sample;ref_timestamp;ref_lat;ref_lon;x;y;z;delta_xy[0];delta_xy[1];delta_z;vx;vy;vz;z_deriv;delta_vxy[0];delta_vxy[1];delta_vz;ax;ay;az;heading;heading_var;unaided_heading;delta_heading;tilt_var;ref_alt;dist_bottom;dist_bottom_var;delta_dist_bottom;eph;epv;evh;evv;vxy_max;vz_max;hagl_min;hagl_max_z;hagl_max_xy;xy_valid;z_valid;v_xy_valid;v_z_valid;xy_reset_counter;z_reset_counter;vxy_reset_counter;vz_reset_counter;heading_reset_counter;heading_good_for_control;xy_global;z_global;dist_bottom_valid;dist_bottom_reset_counter;dist_bottom_sensor_bitfield;dead_reckoning
1251134216;1251133703;0;nan;nan;-614.25574;124.32326;2.0785623;0.0;0.0;0.0;0.0045793937;-0.0029326105;-0.0049798586;0.003718908;-3.8242538;-0.96272826;-0.0005738623;-0.013762555;0.008369186;-0.015535957;-2.3559678;0.002115664;2.7070277;0.13187385;9.723724e-05;nan;0.00999999;1e-04;0.0;0.014367257;0.27475128;0.040310834;0.056155574;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1251638189;1251637593;0;nan;nan;-614.2554;124.32274;2.0797625;0.0;0.0;0.0;0.0044215545;-0.0026394192;-0.0043803956;0.0035315228;-3.8242538;-0.96272826;-0.0005738623;0.053333096;-0.013507422;-0.038956895;-2.3564153;0.0021126815;2.7061996;0.13187385;9.620776e-05;nan;0.00999999;1e-04;0.0;0.01118522;0.27338272;0.034991033;0.054900203;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1252132998;1252132485;0;nan;nan;-614.25616;124.322464;2.0792353;0.0;0.0;0.0;0.0015701351;-0.002952235;-0.003201773;0.0024818762;-3.8242538;-0.96272826;-0.0005738623;0.050889097;0.08052515;0.0041860794;-2.35674;0.0021087183;2.7056043;0.13187385;9.630668e-05;nan;0.00999999;1e-04;0.0;0.013292319;0.27380607;0.03869769;0.055732388;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1252636895;1252636375;0;nan;nan;-614.25745;124.32195;2.0781064;0.0;0.0;0.0;-2.2071948e-05;-0.008858595;-0.004493242;-0.0010146737;-3.8242538;-0.96272826;-0.0005738623;0.09432545;-0.20237997;-0.15050964;-2.366368;0.0021050172;2.6957152;0.13187385;9.646343e-05;nan;0.00999999;1e-04;0.0;0.016108565;0.2753321;0.04270028;0.05667692;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1253141022;1253140264;0;nan;nan;-614.2705;124.30686;2.0787418;0.0;0.0;0.0;-0.08118767;-0.051419348;-0.01091351;-0.0067552323;-3.8242538;-0.96272826;-0.0005738623;0.31595117;-0.16489768;-0.10192442;-2.7461152;0.002101465;2.3156054;0.13187385;9.7844866e-05;nan;0.008348942;0.091968045;0.0;0.028389478;0.2785493;0.05556233;0.059661098;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1253635639;1253635157;0;nan;nan;-614.33954;124.34725;2.0829844;0.0;0.0;0.0;-0.1303311;0.11429023;0.07802745;0.08130706;-3.8242538;-0.96272826;-0.0005738623;1.7736413;-0.8714395;-1.2098587;-3.1260972;0.0019353759;1.9367046;0.13187385;0.000100421494;nan;0.015908957;0.20310795;0.0;0.057647105;0.2852055;0.07935768;0.06426303;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1254139643;1254139094;0;nan;nan;-614.30133;124.386375;2.0851195;0.0;0.0;0.0;0.098541714;0.11410243;0.020287745;0.01808499;-3.8242538;-0.96272826;-0.0005738623;0.18287325;0.18104625;0.49030456;3.1327684;0.0016118337;1.9365716;0.13187385;0.000103111364;nan;0.006323576;0.31731555;0.0;0.09983699;0.29476067;0.10893349;0.06836421;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1254634771;1254633985;0;nan;nan;-614.2037;124.43605;2.0894217;0.0;0.0;0.0;0.21469223;0.118192434;0.0026287755;-0.0012830985;-3.8242538;-0.96272826;-0.0005738623;-0.28046513;0.20072426;0.36692187;3.108512;0.0013899858;1.9373295;0.13187385;0.000105964544;nan;0.0;0.42916918;0.0;0.15590174;0.30433607;0.14122073;0.07247217;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1255138289;1255137829;0;nan;nan;-614.03876;124.50185;2.0939224;0.0;0.0;0.0;0.32274953;0.15020764;0.012366557;0.007468649;-3.8242538;-0.96272826;-0.0005738623;0.07145785;0.01532184;-0.0712803;3.0905666;0.0012556976;1.9374886;0.13187385;0.00010909938;nan;0.0;0.5427423;0.0;0.22967148;0.31540522;0.17637788;0.0767951;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1255633189;1255632721;0;nan;nan;-613.8109;124.58408;2.0993738;0.0;0.0;0.0;0.43425682;0.18139933;0.021636961;0.01661101;-3.8242538;-0.96272826;-0.0005738623;-0.32122868;-0.046105217;0.38339838;3.080682;0.0011396655;1.9396877;0.13187385;0.000112419875;nan;0.0;0.65471345;0.0;0.3196452;0.32846618;0.21262951;0.081204124;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1256137161;1256136611;0;nan;nan;-613.50934;124.685265;2.1060205;0.0;0.0;0.0;0.5632626;0.21871187;0.020003708;0.01393645;-3.8242538;-0.96272826;-0.0005738623;-0.028141329;0.12602593;0.48443845;3.0698776;0.0010532656;1.9374433;0.13187385;0.00011604816;nan;0.0;0.76917255;0.0;0.42991018;0.34147513;0.25097987;0.08557473;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1256632013;1256631503;0;nan;nan;-613.1424;124.802635;2.1166153;0.0;0.0;0.0;0.6826644;0.25977448;0.030587709;0.025203507;-3.8242538;-0.96272826;-0.0005738623;-0.06435782;0.63623506;-0.4326511;3.065144;0.0009955058;1.9389389;0.13187385;0.00011984444;nan;0.0;0.8814229;0.0;0.557039;0.3544687;0.2898285;0.08970674;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1257135920;1257135393;0;nan;nan;-612.6902;124.937744;2.127221;0.0;0.0;0.0;0.8028149;0.28691983;0.028664317;0.020609142;-3.8242538;-0.96272826;-0.0005738623;0.19153261;-0.27319086;-0.30132776;3.067645;0.00094119355;1.9462271;0.13187385;0.00012394732;nan;0.0;0.99556404;0.0;0.7059957;0.3682142;0.33059126;0.093779825;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1257639767;1257639284;0;nan;nan;-612.16046;125.088585;2.1344116;0.0;0.0;0.0;0.9464675;0.311229;0.025917262;0.011665455;-3.8242538;-0.96272826;-0.0005738623;0.23411609;0.08222239;-0.1484202;3.0641205;0.0008980977;1.9463811;0.13187385;0.00012830811;nan;0.0;1.1106336;0.0;0.8754525;0.38428712;0.37223616;0.09790641;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1258134659;1258134176;0;nan;nan;-611.5586;125.25147;2.1426156;0.0;0.0;0.0;1.0504259;0.34592217;0.04930583;0.032683507;-3.8242538;-0.96272826;-0.0005738623;-0.6198294;-0.40604436;0.6947272;3.061355;0.00086789945;1.9467206;0.13187385;0.00013282003;nan;0.0;1.223611;0.0;1.0620161;0.39733824;0.41423047;0.10134792;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1258638765;1258638113;0;nan;nan;-610.8648;125.43325;2.1519282;0.0;0.0;0.0;1.1909672;0.38155186;0.044249266;0.023960475;-3.8242538;-0.96272826;-0.0005738623;0.4042159;-0.3867337;-0.5071155;3.051261;0.0008378098;1.9390409;0.13187385;0.0001376462;nan;0.0;1.3386043;0.0;1.2725196;0.41039303;0.45813575;0.10456383;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1259133530;1259133005;0;nan;nan;-610.09686;125.632256;2.1600103;0.0;0.0;0.0;1.3195039;0.4094729;0.05261454;0.029667256;-3.8242538;-0.96272826;-0.0005738623;0.27873087;-0.72582686;-0.39493015;3.049651;0.0008119953;1.9390376;0.13187385;0.00014262168;nan;0.0;1.4522874;0.0;1.5003121;0.42505196;0.50225973;0.10765274;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1259637548;1259636849;0;nan;nan;-609.22656;125.84897;2.1700644;0.0;0.0;0.0;1.4732784;0.45584083;0.051408067;0.025238106;-3.8242538;-0.96272826;-0.0005738623;0.314907;0.3657741;-0.11418925;3.0484707;0.00079017994;1.939498;0.13187385;0.00014791398;nan;0.0;1.5681195;0.0;1.7536834;0.43648136;0.54832417;0.11011495;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
1260132278;1260131741;0;nan;nan;-608.27246;126.07896;2.187392;0.0;0.0;0.0;1.6284217;0.47751376;0.057467002;0.03466715;-3.8242538;-0.96272826;-0.0005738623;0.06044963;0.20428231;0.67791027;3.046638;0.0007745582;1.9390111;0.13187385;0.00015334689;nan;0.0;1.68298;0.0;2.0246325;0.44603232;0.5945268;0.11206866;inf;inf;inf;inf;inf;0;1;0;1;18;1;18;1;3;0;0;0;0;1;0;1
