timestamp;gyro_rad[0];gyro_rad[1];gyro_rad[2];gyro_integral_dt;accelerometer_timestamp_relative;accelerometer_m_s2[0];accelerometer_m_s2[1];accelerometer_m_s2[2];accelerometer_integral_dt;accelerometer_clipping;gyro_clipping;accel_calibration_count;gyro_calibration_count
1250836768;-0.005474317;-0.0035704395;-0.0011785442;4452;0;6.912297;-3.2626228;-6.165799;4364;0;0;3;1
1250841267;0.0079611605;0.002977593;-0.000959633;4499;0;6.941533;-3.275215;-6.1931233;4361;0;0;3;1
1250845766;0.0034494367;0.0047864444;0.0022220246;4499;0;6.9895635;-3.2794104;-6.1553016;4363;0;0;3;1
1250850265;-0.00056676916;-0.004757567;0.0031001251;4499;0;6.9582357;-3.2605214;-6.170006;4362;0;0;3;1
1250854814;-0.0014281303;0.003511524;-0.001980866;4549;0;6.937354;-3.275214;-6.1910167;4362;0;0;3;1
1250859263;-0.0013160431;-0.00010479055;-0.0030148728;4449;0;6.9415274;-3.2878053;-6.17631;4363;0;0;3;1
1250863762;0.000630602;0.006885538;0.0016612903;4499;0;6.933177;-3.2647142;-6.176313;4363;0;0;3;1
1250868261;-0.0004568524;0.0024774983;-0.0007371896;4499;0;6.9269133;-3.2500265;-6.1889157;4362;0;0;3;1
1250872760;0.0041693933;0.0033031357;5.961792e-05;4499;0;6.918556;-3.2437265;-6.1721153;4363;0;0;3;1
1250877306;0.0019556326;0.0026329064;-0.001844205;4546;0;6.941529;-3.26472;-6.1826057;4363;0;0;3;1
1250881758;0.0001354958;0.005668686;-0.0022065686;4452;0;6.962933;-3.2547522;-6.1421647;5817;0;0;3;1
1250886257;0.006225457;9.12007e-05;0.0020745823;4499;0;6.94988;-3.2521236;-6.1784167;4363;0;0;3;1
1250890756;-0.0015833277;0.001592861;-0.002514456;4499;0;6.943616;-3.2647195;-6.1931214;4363;0;0;3;1
1250895257;0.00047256262;0.00097275095;-0.00076531246;4501;0;6.945707;-3.3003922;-6.1616073;4363;0;0;3;1
1250899802;0.0049887225;0.006389164;-0.00037113018;4545;0;6.935266;-3.2626202;-6.1742077;4362;0;0;3;1
1250904253;-0.0015447557;0.002086131;0.008560407;4451;0;6.958234;-3.2563262;-6.1469007;4363;0;0;3;1
1250908752;-0.0015370374;0.0033417484;-0.008478082;4499;0;6.933177;-3.2542233;-6.148998;4363;0;0;3;1
1250913252;-0.00010214932;0.0022412702;0.0033458974;4500;0;6.926916;-3.2752104;-6.1594987;4363;0;0;3;1
1250917751;0.0011627884;0.0020512082;-0.0019251284;4499;0;6.9436145;-3.252124;-6.146888;4365;0;0;3;1
1250922296;-0.002545806;0.00028055883;-0.0029607809;4545;0;6.962421;-3.2521214;-6.1700087;4361;0;0;3;1
1250926748;0.007810214;-0.00017095171;0.003918631;4452;0;6.943616;-3.2374284;-6.1510916;4363;0;0;3;1
1250931248;3.274693e-05;-0.0012097869;-0.0038723662;4500;0;6.962933;-3.2641923;-6.181562;5818;0;0;3;1
1250935746;0.0018526623;0.005792323;0.0041151643;4498;0;6.9310865;-3.2605217;-6.1994195;4363;0;0;3;1
1250940245;-0.004043075;-0.0010600765;0.0010913333;4499;0;6.9749403;-3.2731109;-6.184711;4363;0;0;3;1
1250944792;0.0065461956;0.0027067699;0.0014751863;4547;0;6.97077;-3.2689238;-6.1447935;4363;0;0;3;1
1250949244;-0.0058069327;0.0026125892;0.0028897058;4452;0;6.9310894;-3.2542248;-6.1700063;4362;0;0;3;1
1250953742;0.0044141896;0.0030443033;0.0005972827;4498;0;6.943616;-3.250021;-6.1574035;4364;0;0;3;1
1250958242;0.00037130795;0.002714724;-0.0017437033;4500;0;6.949882;-3.2647169;-6.1574025;4363;0;0;3;1
1250962740;0.0021785705;0.004085775;-0.007414606;4498;0;6.9457073;-3.2668176;-6.1910105;4364;0;0;3;1
1250967287;0.00074213755;0.0049033547;0.0052147824;4547;0;6.939442;-3.2794116;-6.1447935;4362;0;0;3;1
1250971741;0.0048769955;-0.0006749027;-0.0028249978;4454;0;6.958238;-3.2836075;-6.14689;4363;0;0;3;1
1250976237;-0.00047018562;0.005406019;0.0022410739;4496;0;6.970764;-3.2689211;-6.153194;4363;0;0;3;1
1250980738;0.0011441059;0.0018852174;-0.002867114;4501;0;6.980159;-3.246877;-6.1642222;5818;0;0;3;1
1250985236;0.0061650677;-0.0019875097;0.007182576;4498;0;6.954057;-3.252126;-6.151096;4363;0;0;3;1
1250989782;0.0032826453;0.0063642804;-0.007930547;4546;0;6.966587;-3.2605202;-6.170007;4363;0;0;3;1
1250994234;0.0014452767;0.0022593648;0.006078451;4452;0;6.962411;-3.2794163;-6.146899;4363;0;0;3;1
1250998733;0.0001256573;0.001549765;-0.0005053708;4499;0;6.947796;-3.2773128;-6.155298;4362;0;0;3;1
1251003232;0.0013770894;-0.008414023;0.00056470465;4499;0;6.956147;-3.2416303;-6.2162237;4364;0;0;3;1
1251007730;0.001372885;0.0030400234;0.0044253278;4498;0;6.962412;-3.2794147;-6.161602;4363;0;0;3;1
1251012277;0.002063698;0.0054835593;-0.0012794159;4547;0;6.933176;-3.2731109;-6.195228;4363;0;0;3;1
1251016730;0.0027278648;0.0041691894;0.0050396346;4453;0;6.9561462;-3.2710168;-6.1637;4363;0;0;3;1
1251021228;-0.0005624729;-0.005914663;-0.0026114578;4498;0;6.9498835;-3.250028;-6.1573977;4363;0;0;3;1
1251025727;-0.0027068118;0.0058515384;-0.00026729866;4499;0;6.9488397;-3.2626219;-6.159496;5818;0;0;3;1
1251030226;0.0007117024;0.0034444912;0.0040994533;4499;0;6.937349;-3.2395334;-6.2015195;4361;0;0;3;1
1251034772;6.919936e-05;0.005316873;-0.004060373;4546;0;6.968685;-3.250029;-6.163689;4363;0;0;3;1
1251039224;0.0008873361;-0.003585767;-0.0015798814;4452;0;6.964497;-3.247927;-6.1342907;4364;0;0;3;1
1251043723;-0.004153505;0.0018111902;0.004561911;4499;0;6.9394474;-3.2416327;-6.1805115;4363;0;0;3;1
1251048222;0.0076489495;0.0006434527;-0.005059386;4499;0;6.9540567;-3.2521234;-6.1784067;4363;0;0;3;1
1251052721;0.0035304248;0.0057575144;0.00088169967;4499;0;6.962412;-3.2437294;-6.1679034;4363;0;0;3;1
1251057267;0.0021144755;0.00020437432;-0.0056488574;4546;0;6.9436197;-3.250028;-6.1489925;4363;0;0;3;1
1251061719;0.0014923862;-0.0045554247;0.0049931216;4452;0;6.9498844;-3.2794077;-6.1784143;4366;0;0;3;1
1251066218;0.0043781437;0.0008769026;0.0009943068;4499;0;6.964505;-3.2647064;-6.155299;4361;0;0;3;1
1251070717;-0.00045760558;0.0033655537;-0.0023349675;4499;0;6.958236;-3.268911;-6.18892;4363;0;0;3;1
1251075216;-0.004133226;-0.0031596394;-0.0014271396;4499;0;6.9519696;-3.2641943;-6.197318;5819;0;0;3;1
1251079762;0.00084950565;0.0065106847;0.0006541955;4546;0;6.966588;-3.2416313;-6.1658044;4362;0;0;3;1
