timestamp;timestamp_sample;q[0];q[1];q[2];q[3];delta_q_reset[0];delta_q_reset[1];delta_q_reset[2];delta_q_reset[3];quat_reset_counter
1250837027;1250836768;-0.25899392;-0.42520973;0.0663798;0.86470383;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1250841503;1250841267;-0.25898546;-0.42521563;0.06639078;0.8647025;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1250886496;1250886257;-0.25898165;-0.4252248;0.066382416;0.8646998;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1250935951;1250935746;-0.2589812;-0.42522544;0.06636507;0.864701;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1250990009;1250989782;-0.258975;-0.42524126;0.066359565;0.86469555;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251039441;1251039224;-0.25900823;-0.42522;0.066348515;0.8646968;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251088921;1251088713;-0.259025;-0.42520303;0.06634516;0.8647004;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251138415;1251138202;-0.25906017;-0.42518637;0.06632842;0.8646994;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251187919;1251187691;-0.25906223;-0.42520148;0.066323854;0.8646917;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251237445;1251237227;-0.25910217;-0.4251892;0.06632429;0.8646858;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251291371;1251291169;-0.25914603;-0.42518148;0.06629965;0.8646782;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251340874;1251340658;-0.25912452;-0.425205;0.0662785;0.8646747;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251390372;1251390147;-0.2591478;-0.4251547;0.06634104;0.8646877;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251435354;1251435137;-0.2588215;-0.42530784;0.06636644;0.86470824;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251489361;1251489125;-0.25869668;-0.4253306;0.06650934;0.8647233;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251538840;1251538615;-0.25866038;-0.42534828;0.06655235;0.86472213;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251588322;1251588104;-0.2587088;-0.42536277;0.06652723;0.86470246;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251642362;1251642139;-0.25872847;-0.42536092;0.066487566;0.8647006;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251687395;1251687129;-0.2587531;-0.4253545;0.06650605;0.86469495;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251736814;1251736571;-0.2587628;-0.42538133;0.066524334;0.8646775;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251786271;1251786060;-0.25873405;-0.4253535;0.0665359;0.8646989;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251840245;1251840049;-0.2586928;-0.42537165;0.066542335;0.8647017;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251889808;1251889585;-0.25862697;-0.42541245;0.066554375;0.86470044;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251939236;1251939027;-0.2586114;-0.42538962;0.06656932;0.8647152;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1251988739;1251988516;-0.25858617;-0.42537826;0.06658392;0.86472726;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252038200;1252038005;-0.25857985;-0.42536476;0.0665745;0.8647365;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252087692;1252087494;-0.25857037;-0.42536956;0.06658341;0.8647363;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252137241;1252137031;-0.2585618;-0.42537904;0.066600226;0.8647329;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252191178;1252190972;-0.25852573;-0.42538786;0.066610895;0.86473846;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252240660;1252240461;-0.25850207;-0.4254012;0.066593535;0.8647403;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252285650;1252285451;-0.2585001;-0.42539188;0.06660451;0.8647447;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252339745;1252339487;-0.2584703;-0.42538425;0.0666006;0.86475766;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252389167;1252388929;-0.25845665;-0.42537075;0.0666141;0.8647674;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252438664;1252438418;-0.25841233;-0.42537236;0.06660985;0.86478007;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252488145;1252487907;-0.25831503;-0.425359;0.06665617;0.86481214;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252537630;1252537396;-0.25782722;-0.42534852;0.06684371;0.86494845;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252587138;1252586932;-0.25666296;-0.42517886;0.06736361;0.8653376;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252636589;1252636375;-0.25456157;-0.42503238;0.068175666;0.86596656;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252690600;1252690363;-0.25075388;-0.4246971;0.06987182;0.86710596;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252740086;1252739852;-0.24540825;-0.4241654;0.07236848;0.8686895;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252789629;1252789388;-0.23754801;-0.42335862;0.07583702;0.8709692;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252839084;1252838831;-0.2265553;-0.42219862;0.080534205;0.874034;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252888567;1252888319;-0.21252327;-0.42063543;0.0868149;0.8777032;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252938052;1252937809;-0.19545425;-0.41832182;0.09477171;0.8819427;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1252987527;1252987298;-0.17525904;-0.41361734;0.10481884;0.88725317;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
1253041496;1253041286;-0.1500982;-0.4045643;0.118243314;0.8943249;-0.99782705;-8.959834e-12;-2.9897838e-09;-0.06588914;3
