timestamp;yaw_sp_move_rate;q_d[0];q_d[1];q_d[2];q_d[3];thrust_body[0];thrust_body[1];thrust_body[2]
1250837041;2.571465;0.38273782;0.0003904144;0.00016173671;-0.9238569;0.0;0.0;-0.0
1250841523;2.5714717;0.38273606;0.00039041476;0.00016173595;-0.9238577;0.0;0.0;-0.0
1250886511;2.5715215;0.38273516;0.0003904149;0.00016173559;-0.92385805;0.0;0.0;-0.0
1250935965;2.5715528;0.38272858;-5.5606577e-09;-7.493924e-09;-0.92386085;0.0;0.0;-0.0
1250990024;2.5715706;0.38273054;0.00039041572;0.00016173362;-0.92385995;0.0;0.0;-0.0
1251039456;2.5715797;0.3827508;0.00039041217;0.0001617422;-0.92385155;0.0;0.0;-0.0
1251088936;2.5715845;0.38275734;-5.560424e-09;-7.494097e-09;-0.9238489;0.0;0.0;-0.0
1251138430;2.571587;0.38278097;0.00039040687;0.00016175494;-0.92383903;0.0;0.0;-0.0
1251187933;2.5715883;0.3827928;-5.5601364e-09;-7.49431e-09;-0.9238342;0.0;0.0;-0.0
1251237460;2.5715883;0.38283178;-5.55982e-09;-7.494545e-09;-0.92381805;0.0;0.0;-0.0
1251291386;2.5715883;0.38286954;-5.5595137e-09;-7.494772e-09;-0.92380244;0.0;0.0;-0.0
1251340888;2.5715883;0.38285303;-5.559648e-09;-7.494673e-09;-0.9238093;0.0;0.0;-0.0
1251390402;2.5715883;0.38286766;-5.5595293e-09;-7.494761e-09;-0.9238032;0.0;0.0;-0.0
1251435369;2.5715883;0.38259763;-5.5617195e-09;-7.493136e-09;-0.9239151;0.0;0.0;-0.0
1251489376;2.5715883;0.3825181;-5.5623643e-09;-7.492657e-09;-0.923948;0.0;0.0;-0.0
1251538854;2.5715883;0.38250345;-5.5624834e-09;-7.492569e-09;-0.92395407;0.0;0.0;-0.0
1251588336;2.5715883;0.38256258;0.00039044512;0.00016166265;-0.9239295;0.0;0.0;-0.0
1251642384;2.5715883;0.38257;-5.561944e-09;-7.492969e-09;-0.92392653;0.0;0.0;-0.0
1251687411;2.5462453;0.3826016;-5.561687e-09;-7.49316e-09;-0.9239134;0.0;0.0;-0.0
1251736854;2.033311;0.38263938;-5.561381e-09;-7.493387e-09;-0.9238978;0.0;0.0;-0.0
1251786285;1.2232276;0.38258916;-5.5617884e-09;-7.493085e-09;-0.9239186;0.0;0.0;-0.0
1251840259;0.6344004;0.38255545;-5.5620615e-09;-7.492882e-09;-0.92393255;0.0;0.0;-0.0
1251889823;0.34733197;0.38251072;-5.562424e-09;-7.492613e-09;-0.923951;0.0;0.0;-0.0
1251939250;0.1903747;0.3824811;-5.5626646e-09;-7.492434e-09;-0.9239633;0.0;0.0;-0.0
1251988754;0.104287446;0.38244817;-5.5629314e-09;-7.492236e-09;-0.92397696;0.0;0.0;-0.0
1252038215;0.057128772;0.38242722;0.00039046878;0.00016160545;-0.92398554;0.0;0.0;-0.0
1252087706;0.031295203;0.3824227;0.00039046956;0.00016160353;-0.9239874;0.0;0.0;-0.0
1252137255;0.017133813;0.38242546;0.00039046907;0.00016160471;-0.92398626;0.0;0.0;-0.0
1252191193;0.008891129;0.38239288;-5.56338e-09;-7.491903e-09;-0.92399985;0.0;0.0;-0.0
1252240674;0.0048705693;0.38236776;-5.5635834e-09;-7.491752e-09;-0.9240102;0.0;0.0;-0.0
1252285665;0.0028181504;0.3823627;-5.5636242e-09;-7.491721e-09;-0.9240123;0.0;0.0;-0.0
1252339759;0.0014607598;0.38232008;-5.56397e-09;-7.491464e-09;-0.92402995;0.0;0.0;-0.0
1252389182;0.00080065115;0.38229904;-5.5641407e-09;-7.491338e-09;-0.92403865;0.0;0.0;-0.01955995
1252438678;0.00043859752;0.38224572;-5.564573e-09;-7.491017e-09;-0.9240607;0.0;0.0;-0.056234777
1252488159;0.0002402642;0.38213688;-5.565455e-09;-7.490362e-09;-0.92410576;0.0;0.0;-0.083129644
1252537644;0.00013161698;0.38161576;-5.5696776e-09;-7.487222e-09;-0.92432106;0.0;0.0;-0.08557463
1252587153;7.205984e-05;0.38029465;-5.58037e-09;-7.479256e-09;-0.92486537;0.0;0.0;-0.09400846
1252636604;3.9495957e-05;0.37797892;-5.59907e-09;-7.4652675e-09;-0.9258142;0.0;0.0;-0.11179587
1252690614;2.048396e-05;0.37381977;-5.6325202e-09;-7.440062e-09;-0.9275014;0.0;0.0;-0.13200422
1252740103;1.12211355e-05;0.36798787;-5.6791314e-09;-7.404544e-09;-0.9298306;0.0;0.0;-0.15425782
1252789644;6.1435326e-06;0.35933313;-5.74768e-09;-7.351461e-09;-0.93320936;0.0;0.0;-0.18227799
1252839099;3.3672668e-06;0.34717494;-5.8427334e-09;-7.2761446e-09;-0.9378004;0.0;0.0;-0.19339594
1252888581;1.8446141e-06;0.33176154;-5.961176e-09;-7.1794286e-09;-0.9433633;0.0;0.0;-0.19613773
1252938067;1.0104695e-06;0.31295;-6.1026646e-09;-7.0595534e-09;-0.9497696;0.0;0.0;-0.19769257
1252987542;5.535362e-07;0.2898404;-6.2719603e-09;-6.909582e-09;-0.957075;0.0;0.0;-0.20041767
1253041511;2.8708297e-07;0.2598587;-6.4843455e-09;-6.7106676e-09;-0.9656466;0.0;0.0;-0.21723604
1253091033;1.5726434e-07;0.22898045;-6.6947274e-09;-6.5008017e-09;-0.973431;0.0;0.0;-0.22796556
1253140477;8.614957e-08;0.19645262;-6.9073995e-09;-6.2743637e-09;-0.98051333;0.0;0.0;-0.22938728
1253185496;4.9846246e-08;0.16615996;-7.0973707e-09;-6.0586416e-09;-0.9860988;0.0;0.0;-0.23067981
1253239520;2.5837602e-08;0.1307321;0.0004189637;5.5241315e-05;-0.99141765;0.0;0.0;-0.2345097
1253288964;1.4161743e-08;0.10008011;-7.485324e-09;-5.5722285e-09;-0.9949794;0.0;0.0;-0.24385443
1253338470;7.7578175e-09;0.071760505;0.00042150074;3.0320482e-05;-0.99742186;0.0;0.0;-0.2542392
1253392462;4.02347e-09;0.04571866;-7.777815e-09;-5.1561027e-09;-0.99895436;0.0;0.0;-0.25679874
1253437427;2.3279845e-09;0.029988755;-7.858012e-09;-5.0330358e-09;-0.9995502;0.0;0.0;-0.27137518
1253486971;1.2745635e-09;0.018964421;-7.9130364e-09;-4.946076e-09;-0.9998202;0.0;0.0;-0.27372462
1253536406;6.985958e-10;0.012359141;-7.943679e-09;-4.8936712e-09;-0.99992365;0.0;0.0;-0.2837851
1253590376;3.6231576e-10;0.008809886;-7.962857e-09;-4.865461e-09;-0.9999612;0.0;0.0;-0.28617412
1253639878;1.9847693e-10;0.007738827;-7.968064e-09;-4.8569295e-09;-0.9999701;0.0;0.0;-0.2862634
1253689416;1.0866414e-10;0.007509952;-7.9691755e-09;-4.8551057e-09;-0.9999718;0.0;0.0;-0.28528032
1253738864;5.955946e-11;0.007037299;-7.97147e-09;-4.851338e-09;-0.99997526;0.0;0.0;-0.27893066
1253788337;3.2626738e-11;0.0059674187;-7.976655e-09;-4.8428066e-09;-0.9999822;0.0;0.0;-0.27159098
1253837821;1.7872964e-11;0.004613697;-7.983203e-09;-4.8320037e-09;-0.99998933;0.0;0.0;-0.27074707
1253887317;9.790829e-12;0.003228615;-7.98989e-09;-4.820942e-09;-0.9999948;0.0;0.0;-0.2720478
1253941354;5.077801e-12;0.0016339573;-7.997567e-09;-4.8081947e-09;-0.9999987;0.0;0.0;-0.27557534
1253990839;2.7816245e-12;0.00010307232;-8.0049185e-09;-4.7959454e-09;-1.0;0.0;0.0;-0.27791035
1254035797;1.6094705e-12;0.001361922;8.011935e-09;4.784213e-09;0.99999905;0.0;0.0;-0.27907634
1254089916;8.34707e-13;0.003022265;8.019867e-09;4.7709037e-09;0.9999954;0.0;0.0;-0.283582
1254139369;4.5700455e-13;0.004412116;8.0264915e-09;4.759753e-09;0.9999903;0.0;0.0;-0.2858759
1254188841;2.504899e-13;0.0053219106;8.030818e-09;4.752448e-09;0.9999858;0.0;0.0;-0.29975554
1254238342;1.3721699e-13;0.0063635437;8.035764e-09;4.7440802e-09;0.99997973;0.0;0.0;-0.32337412
1254287796;7.5167615e-14;0.0074236467;8.040789e-09;4.735559e-09;0.99997246;0.0;0.0;-0.32440102
1254337264;4.1176887e-14;0.008768283;8.04715e-09;4.7247424e-09;0.99996156;0.0;0.0;-0.32440102
1254386774;2.2543936e-14;0.010296477;8.054361e-09;4.712439e-09;0.999947;0.0;0.0;-0.32440102
1254440705;1.1698567e-14;0.012080571;8.062756e-09;4.6980606e-09;0.99992704;0.0;0.0;-0.32337412
1254490176;6.408487e-15;0.013491774;8.069378e-09;4.6866764e-09;0.999909;0.0;0.0;-0.32645482
1254539701;3.5105755e-15;0.014576233;8.074457e-09;4.677922e-09;0.9998938;0.0;0.0;-0.33364308
1254589236;1.9220277e-15;0.015658768;8.079517e-09;4.6691775e-09;0.9998774;0.0;0.0;-0.33364308
1254638686;1.0534622e-15;0.01669301;8.084342e-09;4.6608175e-09;0.99986064;0.0;0.0;-0.34083134
1254688184;5.7709456e-16;0.017724615;8.089146e-09;4.652474e-09;0.9998429;0.0;0.0;-0.34083134
1254737661;3.1612927e-16;0.018817581;8.0942275e-09;4.6436286e-09;0.9998229;0.0;0.0;-0.34083134
1254787169;1.7317595e-16;0.019702666;8.0983344e-09;4.6364614e-09;0.99980587;0.0;0.0;-0.33877754
1254841085;8.981501e-17;0.020668063;8.102808e-09;4.6286392e-09;0.9997864;0.0;0.0;-0.33877754
1254886137;5.1967685e-17;0.021455387;8.106451e-09;4.6222572e-09;0.9997698;0.0;0.0;-0.33877754
1254935602;2.8467613e-17;0.022237092;8.110062e-09;4.6159174e-09;0.9997527;0.0;0.0;-0.33877754
1254989586;1.4764284e-17;0.023197075;8.11449e-09;4.6081277e-09;0.9997309;0.0;0.0;-0.33877754
1255039120;8.083393e-18;0.024083268;8.1185725e-09;4.600933e-09;0.99970996;0.0;0.0;-0.33877754
1255088560;4.4305556e-18;0.024833467;8.122023e-09;4.594839e-09;0.9996916;0.0;0.0;-0.33775064
1255138032;2.4270346e-18;0.025510242;8.125132e-09;4.5893396e-09;0.99967456;0.0;0.0;-0.33672377
1255187533;1.329532e-18;0.026213817;8.12836e-09;4.58362e-09;0.9996564;0.0;0.0;-0.33569688
1255237037;7.2831914e-19;0.026852554;8.131287e-09;4.578425e-09;0.9996394;0.0;0.0;-0.33364308
1255286618;3.987475e-19;0.027411917;8.133847e-09;4.573875e-09;0.99962425;0.0;0.0;-0.33261618
1255340524;2.0691923e-19;0.027902037;8.136089e-09;4.5698862e-09;0.99961066;0.0;0.0;-0.33056238
1255389980;1.1335058e-19;0.02834532;8.138115e-09;4.566278e-09;0.9995982;0.0;0.0;-0.33056238
1255439487;6.209356e-20;0.02876405;8.140027e-09;4.562868e-09;0.9995862;0.0;0.0;-0.33056238
1255489040;3.3996012e-20;0.029148936;8.141783e-09;4.5597335e-09;0.9995751;0.0;0.0;-0.32953548
1255538466;1.8633413e-20;0.029476501;8.143277e-09;4.557065e-09;0.9995655;0.0;0.0;-0.32953548
1255587940;1.0207404e-20;0.029976243;8.1455545e-09;4.5529935e-09;0.99955064;0.0;0.0;-0.3285086
1255637431;5.591561e-21;0.03057166;8.148265e-09;4.54814e-09;0.9995326;0.0;0.0;-0.3285086
1255691483;2.898364e-21;0.031312548;8.151634e-09;4.542099e-09;0.99950963;0.0;0.0;-0.3285086
1255740925;1.5886104e-21;0.032056756;8.1550136e-09;4.536028e-09;0.999486;0.0;0.0;-0.3285086
1255785910;9.191827e-22;0.032699432;8.1579286e-09;4.5307837e-09;0.9994652;0.0;0.0;-0.3285086
1255839930;4.767198e-22;0.03332244;8.160752e-09;4.5256976e-09;0.99944466;0.0;0.0;-0.3274817
1255889374;2.611445e-22;0.033863224;8.163199e-09;4.521281e-09;0.9994265;0.0;0.0;-0.3274817
1255938938;1.4297569e-22;0.034274615;8.16506e-09;4.5179207e-09;0.9994125;0.0;0.0;-0.3274817
1255988371;7.8365815e-23;0.03457556;8.1664195e-09;4.515462e-09;0.9994021;0.0;0.0;-0.3274817
1256037858;4.2928873e-23;0.03491677;8.167961e-09;4.5126733e-09;0.99939024;0.0;0.0;-0.3274817
1256087333;2.3516207e-23;0.035420354;8.170233e-09;4.5085566e-09;0.9993725;0.0;0.0;-0.3274817
1256136845;1.2882201e-23;0.035849832;8.1721705e-09;4.5050452e-09;0.99935716;0.0;0.0;-0.3274817
1256186410;7.05296e-24;0.036159694;8.173567e-09;4.5025113e-09;0.999346;0.0;0.0;-0.3274817
1256240322;3.659943e-24;0.03666647;8.175849e-09;4.4983657e-09;0.99932754;0.0;0.0;-0.3285086
1256289795;2.0049208e-24;0.036968227;8.177207e-09;4.4958965e-09;0.99931645;0.0;0.0;-0.33672377
1256339275;1.0982847e-24;0.03721732;8.178328e-09;4.4938586e-09;0.9993072;0.0;0.0;-0.33775064
1256388870;6.0130706e-25;0.03753896;8.179774e-09;4.491226e-09;0.9992952;0.0;0.0;-0.3459658
1256438272;3.2957605e-25;0.03774874;8.1807165e-09;4.4895083e-09;0.99928725;0.0;0.0;-0.3480196
1256487760;1.8054427e-25;0.03801915;8.181931e-09;4.4872945e-09;0.999277;0.0;0.0;-0.35520786
1256541732;9.363645e-26;0.038186397;8.182682e-09;4.485925e-09;0.9992706;0.0;0.0;-0.35520786
1256591322;5.1265026e-26;0.03820522;8.1827665e-09;4.485771e-09;0.9992699;0.0;0.0;-0.35418096
1256636276;2.966235e-26;0.038215943;8.182814e-09;4.485683e-09;0.9992695;0.0;0.0;-0.3531541
1256685712;1.6258109e-26;0.037957326;8.181654e-09;4.487801e-09;0.9992794;0.0;0.0;-0.35212716
1256739684;8.432014e-27;0.037797343;8.180934e-09;4.4891104e-09;0.9992854;0.0;0.0;-0.35212716
1256789207;4.6190117e-27;0.037762675;8.180779e-09;4.489394e-09;0.9992867;0.0;0.0;-0.3511003
1256838762;2.5288928e-27;0.03766702;8.180349e-09;4.490177e-09;0.99929035;0.0;0.0;-0.3511003
1256888224;1.3861011e-27;0.03751728;8.179676e-09;4.4914032e-09;0.99929595;0.0;0.0;-0.34391204
1256937694;7.593077e-28;0.037479755;8.179508e-09;4.49171e-09;0.9992974;0.0;0.0;-0.33672377
1256987168;4.1594463e-28;0.037268307;8.178557e-09;4.493441e-09;0.9993053;0.0;0.0;-0.3285086
1257036669;2.278549e-28;0.037068292;8.177658e-09;4.4950776e-09;0.99931276;0.0;0.0;-0.3274817
1257090637;1.1817341e-28;0.037042562;8.177542e-09;4.4952886e-09;0.9993137;0.0;0.0;-0.32645482
1257140157;6.4735525e-29;0.037071865;8.177674e-09;4.4950483e-09;0.9993126;0.0;0.0;-0.32440102
1257189602;3.546219e-29;0.037200168;8.17825e-09;4.4939985e-09;0.9993078;0.0;0.0;-0.32440102
1257239119;1.9425995e-29;0.037394103;8.179122e-09;4.4924113e-09;0.9993006;0.0;0.0;-0.32440102
1257288665;1.06356645e-29;0.0374819;8.1795175e-09;4.491693e-09;0.9992973;0.0;0.0;-0.32337412
1257338112;5.8294706e-30;0.037755888;8.1807485e-09;4.4894497e-09;0.999287;0.0;0.0;-0.32337412
1257387594;3.1933897e-30;0.03792909;8.181527e-09;4.488032e-09;0.99928045;0.0;0.0;-0.32337412
1257441537;1.6561822e-30;0.038234286;8.182897e-09;4.485533e-09;0.99926883;0.0;0.0;-0.33056238
1257491090;9.06754e-31;0.038384616;8.183571e-09;4.484302e-09;0.99926305;0.0;0.0;-0.33261618
1257536114;5.2465515e-31;0.038495757;8.18407e-09;4.4833914e-09;0.99925876;0.0;0.0;-0.33261618
1257590009;2.7225237e-31;0.038631674;8.18468e-09;4.4822785e-09;0.9992535;0.0;0.0;-0.33466995
1257639508;1.4914012e-31;0.038726375;8.185105e-09;4.4815027e-09;0.9992499;0.0;0.0;-0.33466995
1257689010;8.1699126e-32;0.038975928;8.186224e-09;4.4794586e-09;0.99924016;0.0;0.0;-0.33569688
1257738540;4.472999e-32;0.039335426;8.187834e-09;4.476513e-09;0.99922603;0.0;0.0;-0.33569688
1257787980;2.4516774e-32;0.039548527;8.188789e-09;4.4747663e-09;0.9992176;0.0;0.0;-0.33569688
