timestamp;flag_armed;flag_multicopter_position_control_enabled;flag_control_manual_enabled;flag_control_auto_enabled;flag_control_offboard_enabled;flag_control_position_enabled;flag_control_velocity_enabled;flag_control_altitude_enabled;flag_control_climb_rate_enabled;flag_control_acceleration_enabled;flag_control_attitude_enabled;flag_control_rates_enabled;flag_control_allocation_enabled;flag_control_termination_enabled;source_id
1250776203;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1251280839;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1251786762;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1252292760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1252798979;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1253304823;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1253810899;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1254316838;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1254822759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1255328773;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1255834763;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1256340778;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1256846779;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1257353896;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1257860012;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1258365760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1258871760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1259377774;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1259883936;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1260389873;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1260895822;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1261401760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1261907797;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1262413927;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1262919853;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1263425761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1263931761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1264438689;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1264943942;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1265450296;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1265955779;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1266461760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1266967760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1267473955;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1267979760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1268485759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1268991759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1269497760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1270004772;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1270510759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1271016766;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1271524432;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
