timestamp;io_errors;frames_tx;frames_rx;interface
431273441;12770;12471;0;1
431375440;12775;12474;0;1
431478086;12778;12474;0;1
431579440;12778;12474;0;1
431681442;12779;12486;0;1
431783680;12790;12486;0;1
431885504;12790;12488;0;1
431987440;12792;12488;0;1
432089516;12792;12488;0;1
432191442;12792;12488;0;1
432293440;12792;12488;0;1
432395498;12792;12490;0;1
432497439;12794;12490;0;1
432599439;12794;12490;0;1
432701499;12795;12502;0;1
432803439;12806;12502;0;1
432905439;12806;12504;0;1
433007439;12808;12504;0;1
433109439;12808;12504;0;1
433211499;12808;12504;0;1
433313453;12808;12506;0;1
433415438;12810;12506;0;1
433517439;12810;12506;0;1
433619439;12811;12506;0;1
433721441;12811;12518;0;1
433823439;12822;12520;0;1
433925439;12824;12520;0;1
434027439;12824;12520;0;1
434129439;12824;12520;0;1
434231441;12824;12520;0;1
434333439;12824;12522;0;1
434435439;12826;12522;0;1
434537591;12826;12522;0;1
434639440;12827;12522;0;1
434741441;12827;12534;0;1
434843439;12838;12534;0;1
434945439;12838;12536;0;1
435047439;12840;12536;0;1
435149439;12840;12536;0;1
435251441;12840;12536;0;1
435353439;12840;12536;0;1
435455439;12840;12538;0;1
435557453;12842;12538;0;1
435659544;12843;12538;0;1
435761503;12843;12550;0;1
435863658;12854;12552;0;1
435965445;12856;12552;0;1
436067458;12856;12552;0;1
436169963;12856;12552;0;1
436271441;12856;12552;0;1
436373439;12856;12554;0;1
436475440;12858;12554;0;1
436577454;12858;12554;0;1
436679439;12859;12566;0;1
436781441;12870;12566;0;1
436883439;12870;12568;0;1
436985439;12872;12568;0;1
437087439;12872;12568;0;1
437189439;12872;12568;0;1
437291441;12872;12568;0;1
437393439;12872;12570;0;1
437495442;12874;12570;0;1
437597439;12874;12570;0;1
437699439;12875;12582;0;1
437801462;12886;12582;0;1
437903439;12886;12584;0;1
438005439;12888;12584;0;1
438107439;12888;12584;0;1
438209440;12888;12584;0;1
438311444;12888;12584;0;1
438413439;12888;12586;0;1
438515443;12890;12586;0;1
438617440;12891;12586;0;1
438719439;12891;12598;0;1
438821449;12902;12598;0;1
438923440;12902;12600;0;1
439025439;12904;12600;0;1
439127439;12904;12600;0;1
439229438;12904;12600;0;1
439331441;12904;12600;0;1
439433439;12904;12602;0;1
439535439;12906;12602;0;1
439637439;12907;12602;0;1
439739439;12907;12614;0;1
439841441;12918;12614;0;1
439943445;12918;12616;0;1
440045439;12920;12616;0;1
440147451;12920;12616;0;1
440249439;12920;12616;0;1
440351441;12920;12616;0;1
440453440;12920;12618;0;1
440555440;12922;12618;0;1
440657439;12923;12618;0;1
440759439;12923;12630;0;1
440861858;12934;12630;0;1
440963517;12934;12632;0;1
441065495;12936;12632;0;1
441167931;12936;12632;0;1
441269474;12936;12632;0;1
441371446;12936;12632;0;1
441474166;12936;12634;0;1
441575440;12938;12634;0;1
441677439;12939;12646;0;1
441779797;12950;12646;0;1
441881441;12950;12646;0;1
441983439;12950;12648;0;1
442086085;12952;12648;0;1
442187544;12952;12648;0;1
442289439;12952;12648;0;1
442391673;12952;12648;0;1
442493439;12952;12650;0;1
442595458;12954;12650;0;1
442697439;12955;12662;0;1
442799452;12966;12662;0;1
442901441;12966;12662;0;1
443003459;12966;12664;0;1
443105439;12968;12664;0;1
443207439;12968;12664;0;1
443309521;12968;12664;0;1
443411444;12968;12664;0;1
443513439;12968;12666;0;1
443615439;12970;12666;0;1
443717439;12971;12678;0;1
443819443;12982;12678;0;1
443921467;12982;12678;0;1
444023439;12982;12680;0;1
444125461;12984;12680;0;1
444227439;12984;12680;0;1
444329438;12984;12680;0;1
444431441;12984;12680;0;1
444533439;12984;12682;0;1
444635439;12987;12682;0;1
444737439;12987;12694;0;1
444839439;12998;12694;0;1
444941453;12998;12694;0;1
445043439;12998;12696;0;1
445145498;13000;12696;0;1
445247466;13000;12696;0;1
445349439;13000;12696;0;1
445451465;13000;12696;0;1
445553439;13000;12698;0;1
445655438;13003;12698;0;1
445757440;13003;12710;0;1
445859439;13014;12710;0;1
445961496;13014;12712;0;1
446063462;13016;12712;0;1
446165439;13016;12712;0;1
446267526;13016;12712;0;1
446369502;13016;12712;0;1
446471600;13016;12714;0;1
446573466;13018;12714;0;1
446675441;13019;12726;0;1
446777499;13030;12726;0;1
446879439;13030;12726;0;1
446981441;13030;12726;0;1
447083439;13030;12728;0;1
447185451;13032;12728;0;1
447287439;13032;12728;0;1
447389440;13032;12728;0;1
447491441;13032;12728;0;1
447593439;13032;12730;0;1
447695439;13035;12742;0;1
447797440;13046;12742;0;1
447899440;13046;12742;0;1
448001441;13046;12742;0;1
448103440;13046;12744;0;1
448205439;13048;12744;0;1
448307439;13048;12744;0;1
448409439;13048;12744;0;1
448511512;13048;12746;0;1
448613439;13050;12746;0;1
448715439;13051;12758;0;1
448817439;13062;12758;0;1
448919439;13062;12758;0;1
449021450;13062;12760;0;1
449123476;13064;12760;0;1
449225439;13064;12760;0;1
449327439;13064;12760;0;1
449429484;13064;12760;0;1
449531441;13064;12762;0;1
449633439;13067;12762;0;1
449735440;13067;12774;0;1
449837439;13078;12774;0;1
449939439;13078;12774;0;1
450041460;13078;12776;0;1
450143439;13080;12776;0;1
450245439;13080;12776;0;1
450347484;13080;12776;0;1
450449443;13080;12776;0;1
450551441;13080;12778;0;1
450653439;13083;12778;0;1
450755439;13083;12790;0;1
450857439;13094;12790;0;1
450959439;13094;12790;0;1
451061450;13094;12792;0;1
451163441;13096;12792;0;1
451265445;13096;12792;0;1
451367462;13096;12792;0;1
451470109;13096;12792;0;1
451571463;13096;12794;0;1
451673508;13099;12806;0;1
451776007;13110;12806;0;1
451877440;13110;12806;0;1
451979451;13110;12806;0;1
452082196;13110;12808;0;1
452183439;13112;12808;0;1
452285439;13112;12808;0;1
452387789;13112;12808;0;1
452489439;13112;12808;0;1
452591441;13112;12810;0;1
452694030;13115;12822;0;1
452795439;13126;12822;0;1
452897439;13126;12822;0;1
452999640;13126;12822;0;1
453101441;13126;12824;0;1
453203439;13128;12824;0;1
453305550;13128;12824;0;1
453407438;13128;12824;0;1
453509439;13128;12824;0;1
453611445;13128;12826;0;1
453713439;13136;12838;0;1
453815440;13147;12838;0;1
453917462;13147;12838;0;1
454019448;13147;12838;0;1
454121441;13147;12840;0;1
454223439;13149;12840;0;1
454325439;13149;12840;0;1
