timestamp;defer_failsafes_timeout_s;disable_auto_disarm;defer_failsafes;source_type;source_id
429482518;0;0;0;0;0
429988536;0;0;0;0;0
430494519;0;0;0;0;0
431001493;0;0;0;0;0
431501514;0;0;0;0;0
432007493;0;0;0;0;0
432513515;0;0;0;0;0
433019493;0;0;0;0;0
433526492;0;0;0;0;0
434033511;0;0;0;0;0
434539492;0;0;0;0;0
435045491;0;0;0;0;0
435551535;0;0;0;0;0
436057513;0;0;0;0;0
436563527;0;0;0;0;0
437069491;0;0;0;0;0
437575493;0;0;0;0;0
438081965;0;0;0;0;0
438587513;0;0;0;0;0
439093806;0;0;0;0;0
439599515;0;0;0;0;0
440105519;0;0;0;0;0
440611492;0;0;0;0;0
441117684;0;0;0;0;0
441623492;0;0;0;0;0
442129493;0;0;0;0;0
442635550;0;0;0;0;0
443141492;0;0;0;0;0
443647492;0;0;0;0;0
444153511;0;0;0;0;0
444659502;0;0;0;0;0
445167512;0;0;0;0;0
445673493;0;0;0;0;0
446180558;0;0;0;0;0
446686506;0;0;0;0;0
447192491;0;0;0;0;0
447698516;0;0;0;0;0
448204504;0;0;0;0;0
448710491;0;0;0;0;0
449216492;0;0;0;0;0
449722492;0;0;0;0;0
450228757;0;0;0;0;0
450734515;0;0;0;0;0
451240886;0;0;0;0;0
451746513;0;0;0;0;0
452252907;0;0;0;0;0
452758540;0;0;0;0;0
453264701;0;0;0;0;0
453770492;0;0;0;0;0
454276508;0;0;0;0;0
454782506;0;0;0;0;0
455288491;0;0;0;0;0
455794511;0;0;0;0;0
456300492;0;0;0;0;0
456806554;0;0;0;0;0
457312511;0;0;0;0;0
457818495;0;0;0;0;0
458324520;0;0;0;0;0
458832511;0;0;0;0;0
459338492;0;0;0;0;0
459844492;0;0;0;0;0
460350539;0;0;0;0;0
460856535;0;0;0;0;0
461363526;0;0;0;0;0
461869506;0;0;0;0;0
462375514;0;0;0;0;0
462881492;0;0;0;0;0
463387491;0;0;0;0;0
463893492;0;0;0;0;0
464399553;0;0;0;0;0
464905491;0;0;0;0;0
465411911;0;0;0;0;0
465917493;0;0;0;0;0
466423802;0;0;0;0;0
466929502;0;0;0;0;0
468447492;0;0;0;0;0
468953492;0;0;0;0;0
469459515;0;0;0;0;0
469965496;0;0;0;0;0
470472891;0;0;0;0;0
470978492;0;0;0;0;0
471485504;0;0;0;0;0
471992327;0;0;0;0;0
472497492;0;0;0;0;0
473003512;0;0;0;0;0
473509512;0;0;0;0;0
474015576;0;0;0;0;0
474521717;0;0;0;0;0
475027512;0;0;0;0;0
475533491;0;0;0;0;0
476039511;0;0;0;0;0
476546002;0;0;0;0;0
477051492;0;0;0;0;0
477557492;0;0;0;0;0
478063493;0;0;0;0;0
478569594;0;0;0;0;0
479075508;0;0;0;0;0
479582492;0;0;0;0;0
480088491;0;0;0;0;0
480594821;0;0;0;0;0
481100523;0;0;0;0;0
481606636;0;0;0;0;0
482112492;0;0;0;0;0
482618492;0;0;0;0;0
483125583;0;0;0;0;0
483632522;0;0;0;0;0
484138510;0;0;0;0;0
484644510;0;0;0;0;0
485150491;0;0;0;0;0
485656542;0;0;0;0;0
486162590;0;0;0;0;0
486668514;0;0;0;0;0
487174505;0;0;0;0;0
487680493;0;0;0;0;0
488186551;0;0;0;0;0
488692491;0;0;0;0;0
489198492;0;0;0;0;0
489704493;0;0;0;0;0
490210510;0;0;0;0;0
490716934;0;0;0;0;0
491222492;0;0;0;0;0
491728705;0;0;0;0;0
492234512;0;0;0;0;0
492740491;0;0;0;0;0
493246493;0;0;0;0;0
493752492;0;0;0;0;0
494258511;0;0;0;0;0
494764492;0;0;0;0;0
495270573;0;0;0;0;0
495776493;0;0;0;0;0
496282503;0;0;0;0;0
496788502;0;0;0;0;0
497297492;0;0;0;0;0
497803492;0;0;0;0;0
498309513;0;0;0;0;0
498815560;0;0;0;0;0
499321524;0;0;0;0;0
499827492;0;0;0;0;0
500333504;0;0;0;0;0
500839511;0;0;0;0;0
501345511;0;0;0;0;0
501851513;0;0;0;0;0
502357506;0;0;0;0;0
502863492;0;0;0;0;0
503369492;0;0;0;0;0
503876524;0;0;0;0;0
504382506;0;0;0;0;0
504888493;0;0;0;0;0
505394561;0;0;0;0;0
505900491;0;0;0;0;0
506406493;0;0;0;0;0
506912491;0;0;0;0;0
507418505;0;0;0;0;0
507924492;0;0;0;0;0
508430492;0;0;0;0;0
508936808;0;0;0;0;0
509442493;0;0;0;0;0
509949507;0;0;0;0;0
510455831;0;0;0;0;0
510961545;0;0;0;0;0
511467514;0;0;0;0;0
511973505;0;0;0;0;0
512479507;0;0;0;0;0
512985511;0;0;0;0;0
513491510;0;0;0;0;0
513997493;0;0;0;0;0
514503492;0;0;0;0;0
515010117;0;0;0;0;0
515515524;0;0;0;0;0
516021796;0;0;0;0;0
516527515;0;0;0;0;0
517033492;0;0;0;0;0
517539493;0;0;0;0;0
518046493;0;0;0;0;0
518552494;0;0;0;0;0
519058807;0;0;0;0;0
519564491;0;0;0;0;0
520070639;0;0;0;0;0
520576508;0;0;0;0;0
521083511;0;0;0;0;0
521589492;0;0;0;0;0
522095492;0;0;0;0;0
522601539;0;0;0;0;0
523107531;0;0;0;0;0
523614492;0;0;0;0;0
524120530;0;0;0;0;0
524626492;0;0;0;0;0
525132492;0;0;0;0;0
525638491;0;0;0;0;0
526144491;0;0;0;0;0
526650491;0;0;0;0;0
527156493;0;0;0;0;0
527662540;0;0;0;0;0
528168642;0;0;0;0;0
528674493;0;0;0;0;0
529180831;0;0;0;0;0
529686491;0;0;0;0;0
530192604;0;0;0;0;0
530698491;0;0;0;0;0
531204945;0;0;0;0;0
531710495;0;0;0;0;0
532216492;0;0;0;0;0
532722525;0;0;0;0;0
533228492;0;0;0;0;0
533734547;0;0;0;0;0
534240492;0;0;0;0;0
534746563;0;0;0;0;0
535252496;0;0;0;0;0
