timestamp;unallocated_torque[0];unallocated_torque[1];unallocated_torque[2];unallocated_thrust[0];unallocated_thrust[1];unallocated_thrust[2];handled_motor_failure_mask;torque_setpoint_achieved;thrust_setpoint_achieved;actuator_saturation[0];actuator_saturation[1];actuator_saturation[2];actuator_saturation[3];actuator_saturation[4];actuator_saturation[5];actuator_saturation[6];actuator_saturation[7];actuator_saturation[8];actuator_saturation[9];actuator_saturation[10];actuator_saturation[11];actuator_saturation[12];actuator_saturation[13];actuator_saturation[14];actuator_saturation[15]
431333216;-0.02023475;-0.01687683;0.51461196;0.0;0.0;1.12847385e-08;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
431339210;-0.022408998;-0.015750272;0.51456416;0.0;0.0;1.1284382e-08;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
431537236;0.005645389;-0.033637322;0.5132838;0.0;0.0;1.1274843e-08;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
431735147;0.00078656;-0.032172766;0.5138141;0.0;0.0;1.1278794e-08;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
431933066;-0.026442751;-0.021466676;0.5156094;0.0;0.0;1.129217e-08;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
432130985;-0.0721418;-0.009788308;0.51498747;0.0;0.0;1.1287537e-08;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
432333424;-0.064602256;-0.057250842;0.4348334;0.0;0.0;5.3142735e-17;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
432537755;-0.059639182;-0.035884283;0.13448928;0.0;0.0;2.8646685e-09;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
432735310;-0.052540924;-0.055643637;0.022303151;0.0;0.0;3.9900208e-10;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
432933250;-0.027615983;-0.059167378;0.0034271944;0.0;0.0;1.7462298e-10;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
433137200;-0.0022810772;3.7252903e-09;0.0010428855;0.0;0.0;0.0;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
433333639;-2.7939677e-09;0.0;-2.4701876e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
433531630;3.7252903e-09;7.450581e-09;2.3283064e-10;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
433735524;9.313226e-10;0.0;1.1641532e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
433933468;-0.029489662;-0.01207909;0.0009985038;0.0;0.0;0.0;0;0;1;-2;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
434137412;-0.007254317;-0.077403866;0.0005462697;0.0;0.0;-7.450581e-09;0;0;1;-2;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
434333965;-0.069027945;-0.16360621;0.0032089218;0.0;0.0;0.0;0;0;1;-2;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
434531927;0.0;7.450581e-09;-3.2014214e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
434735744;-7.450581e-09;9.313226e-10;-9.313226e-09;0.0;0.0;-1.4901161e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
434933736;3.7252903e-09;1.4901161e-08;5.5879354e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
435131631;-7.450581e-09;-7.450581e-09;2.561137e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
435333911;-3.7252903e-09;7.450581e-09;6.0535967e-09;0.0;0.0;-1.4901161e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
435538008;9.313226e-10;0.0;-9.313226e-10;0.0;0.0;-1.4901161e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
435735999;0.0;0.0;3.434252e-09;0.0;0.0;1.4901161e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
435934226;7.450581e-09;0.0;-2.6775524e-09;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
436131840;0.0;1.8626451e-09;-1.2340024e-08;0.0;0.0;-1.4901161e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
436335828;-5.5879354e-09;0.0;-7.392373e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
436532230;3.7252903e-09;1.4901161e-08;1.1059456e-09;0.0;0.0;-1.4901161e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
436736169;-4.656613e-09;5.5879354e-09;3.3760443e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
436934114;6.0535967e-09;-2.6775524e-09;9.313226e-09;0.0;0.0;1.4901161e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
