timestamp;timestamp_sample;information_event_changes;gps_checks_passed;reset_vel_to_gps;reset_vel_to_flow;reset_vel_to_vision;reset_vel_to_zero;reset_pos_to_last_known;reset_pos_to_gps;reset_pos_to_vision;starting_gps_fusion;starting_vision_pos_fusion;starting_vision_vel_fusion;starting_vision_yaw_fusion;yaw_aligned_to_imu_gps;reset_hgt_to_baro;reset_hgt_to_gps;reset_hgt_to_rng;reset_hgt_to_ev
430856833;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
431864538;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
432872316;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
433879956;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
434887643;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
435895488;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
436903061;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
437910819;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
438918570;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
439926262;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
440933796;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
441941495;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
442949441;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
443957375;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
444964633;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
445972827;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
446980168;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
447988250;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
448995724;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
450003669;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
451011065;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
452018816;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
453026545;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
454034223;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
455041990;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
456049490;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
457057342;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
458065182;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
459072865;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
460080538;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
461088292;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
462095944;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
463103656;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
464111441;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
465119197;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
466126785;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
469149992;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
