timestamp;timestamp_last_signal;rssi;rssi_dbm;rc_lost_frame_count;rc_total_frame_count;rc_ppm_frame_length;values[0];values[1];values[2];values[3];values[4];values[5];values[6];values[7];values[8];values[9];values[10];values[11];values[12];values[13];values[14];values[15];values[16];values[17];channel_count;rc_failsafe;rc_lost;input_source;link_quality
431817495;431816916;41;nan;0;25965;0;1495;1495;1084;1898;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
432312360;432311801;41;nan;0;26020;0;1495;1495;1084;1721;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
432807204;432806641;41;nan;0;26075;0;1495;1495;1084;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
433324559;433324000;41;nan;0;26133;0;1495;1495;1144;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
433819404;433818845;41;nan;0;26188;0;1495;1495;1136;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
434321476;434320858;41;nan;0;26243;0;1495;1495;1134;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
434809128;434808565;41;nan;0;26298;0;1495;1495;1255;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
435304025;435303465;41;nan;0;26353;0;1495;1495;1196;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
435821340;435820778;41;nan;0;26410;0;1495;1495;1194;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
436316195;436315636;41;nan;0;26465;0;1495;1495;1192;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
436811049;436810489;41;nan;0;26520;0;1495;1495;1194;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
437328437;437327878;41;nan;0;26578;0;1495;1496;1194;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
437823273;437822710;41;nan;0;26633;0;1495;1495;1194;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
438318139;438317580;41;nan;0;26688;0;1495;1496;1194;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
438812989;438812427;41;nan;0;26742;0;1495;1496;1192;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
439307990;439307430;41;nan;0;26798;0;1494;1497;1192;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
439825190;439824631;41;nan;0;26855;0;1494;1497;1128;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
440320060;440319499;41;nan;0;26910;0;1494;1497;1126;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
440814921;440814360;41;nan;0;26965;0;1495;1497;1088;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
441309770;441309211;41;nan;0;27020;0;1494;1497;1207;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
441827241;441826632;41;nan;0;27077;0;1494;1497;1249;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
442321987;442321428;41;nan;0;27132;0;1494;1497;1246;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
442816866;442816306;41;nan;0;27187;0;1495;1497;1244;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
443311748;443311179;41;nan;0;27242;0;1494;1496;1242;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
443829060;443828500;41;nan;0;27300;0;1494;1497;1242;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
444323919;444323359;41;nan;0;27355;0;1495;1497;1265;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
444818776;444818216;41;nan;0;27410;0;1494;1496;1294;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
445313636;445313075;41;nan;0;27465;0;1495;1496;1300;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
445808534;445807938;41;nan;0;27520;0;1494;1497;1314;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
446325978;446325418;41;nan;0;27577;0;1494;1496;1318;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
446820756;446820197;41;nan;0;27632;0;1494;1496;1324;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
447315674;447315115;41;nan;0;27687;0;1494;1496;1324;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
447810431;447809872;41;nan;0;27742;0;1494;1497;1327;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
448327787;448327228;41;nan;0;27800;0;1495;1496;1332;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
448822645;448822086;41;nan;0;27855;0;1495;1496;1336;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
