timestamp;gyro_rad[0];gyro_rad[1];gyro_rad[2];gyro_integral_dt;accelerometer_timestamp_relative;accelerometer_m_s2[0];accelerometer_m_s2[1];accelerometer_m_s2[2];accelerometer_integral_dt;accelerometer_clipping;gyro_clipping;accel_calibration_count;gyro_calibration_count
431333118;-0.028567247;0.04053552;0.0038196794;4499;0;0.18401021;-0.1470005;-9.794199;4366;0;0;2;1
431337617;-0.024776958;0.029355677;0.001764796;4499;0;0.14432567;-0.18476398;-9.811003;4366;0;0;2;1
431342163;-0.03978449;0.023982367;-0.0047935806;4546;0;0.1777419;-0.24355088;-9.817311;4365;0;0;2;1
431346614;-0.054907523;0.019370593;0.007354592;4451;0;0.13180678;-0.22256781;-9.821514;4366;0;0;2;1
431351113;-0.042633455;0.018107481;0.00376135;4499;0;0.17359717;-0.13231468;-9.834133;4368;0;0;2;1
431355612;-0.055791546;0.0042528817;0.008789248;4499;0;0.17145208;-0.17849939;-9.882447;4364;0;0;2;1
431360110;-0.06412515;0.010177326;0.008586887;4498;0;0.13598214;-0.19107805;-9.895056;4366;0;0;2;1
431364656;-0.051861785;-0.0029311522;0.008095372;4546;0;0.1318039;-0.10501271;-9.76268;4366;0;0;2;1
431369108;-0.0630958;-0.0055185873;0.010294073;4452;0;0.09108719;-0.18054397;-9.887127;5821;0;0;2;1
431373607;-0.06337014;-0.0034541886;0.00529674;4499;0;0.100480124;-0.24774875;-9.823614;4365;0;0;2;1
431378105;-0.06791386;-0.012322907;0.008327336;4498;0;0.07127464;-0.102907985;-9.884528;4365;0;0;2;1
431382604;-0.0481769;-0.0141590135;-0.0044482183;4499;0;0.11090992;-0.107127026;-9.815228;4366;0;0;2;1
431387150;-0.034421876;-0.02589731;0.009893151;4546;0;0.0837988;-0.084013775;-9.884498;4366;0;0;2;1
431391602;-0.03649666;-0.016606238;-0.003713274;4452;0;0.083774395;-0.21627101;-9.850922;4366;0;0;2;1
431396100;-0.053532366;-0.024253344;0.0033351197;4498;0;0.062894754;-0.11341227;-9.865634;4366;0;0;2;1
431400599;-0.058099203;-0.020129774;-0.008135478;4499;0;0.025332317;-0.2225481;-9.951783;4367;0;0;2;1
431405098;-0.06468753;-0.019296873;0.003362928;4499;0;0.073325485;-0.1365241;-9.916065;4365;0;0;2;1
431409644;-0.07493809;-0.015967408;-0.0013570989;4546;0;0.046188064;-0.16798931;-9.888748;4365;0;0;2;1
431414095;-0.09440103;-0.01283933;0.0007713998;4451;0;0.046191897;-0.22045496;-9.907662;4366;0;0;2;1
431418596;-0.10870971;-0.016260449;-0.0040171687;4501;0;0.008077886;-0.18531553;-9.880872;5821;0;0;2;1
