timestamp;timestamp_sample;latitude_deg;longitude_deg;altitude_msl_m;altitude_ellipsoid_m;time_utc_usec;device_id;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;spoofing_state;vel_ned_valid;satellites_used;selected_rtcm_instance;rtcm_crc_failed;rtcm_msg_used
432071957;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3762699.2;99.99;99.99;91;12;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;3159;0;0;1;0;0;0;0;0
433071474;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3762747.0;99.99;99.99;91;11;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;3159;0;0;1;0;0;0;0;0
434071516;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3762795.5;99.99;99.99;91;22;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;3159;0;0;1;0;0;0;0;0
435071504;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3762844.0;99.99;99.99;92;17;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;3159;0;0;1;0;0;0;0;0
436071469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3762893.0;99.99;99.99;92;20;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;3159;0;0;1;0;0;0;0;0
437072487;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3762941.8;99.99;99.99;98;64;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;3159;0;0;1;0;0;0;0;0
438071470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3762991.5;99.99;99.99;85;45;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;3159;0;0;1;0;0;0;0;0
439071474;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763041.0;99.99;99.99;85;43;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;3159;0;0;1;0;0;0;0;0
440071489;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763090.8;99.99;99.99;84;37;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;3159;0;0;1;0;0;0;0;0
441071498;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763141.0;99.99;99.99;84;19;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
442072469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763191.5;99.99;99.99;84;32;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
443072469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763242.2;99.99;99.99;84;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
444071470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763292.8;99.99;99.99;83;36;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
445071470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763344.0;99.99;99.99;84;39;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
446071556;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763395.8;99.99;99.99;83;39;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
447071474;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763447.5;99.99;99.99;83;37;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
448071527;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763499.5;99.99;99.99;82;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
449071473;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763552.0;99.99;99.99;82;37;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
450071486;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763604.5;99.99;99.99;82;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
451071476;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763657.2;99.99;99.99;82;39;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
452071470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763710.2;99.99;99.99;81;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
453070475;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763763.5;99.99;99.99;81;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
454070470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763817.0;99.99;99.99;81;41;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
