timestamp;timestamp_sample;xyz[0];xyz[1];xyz[2]
431331432;431331360;0.18088844;-0.18767357;-9.75701
431335797;431335725;0.1819265;-0.1587288;-9.746116
431383836;431383750;0.09037653;-0.12350719;-9.783107
431436208;431436136;0.0065483004;0.034159817;-9.802015
431488591;431488521;-0.022605406;-0.11815299;-9.907714
431536612;431536540;0.031382933;0.1677139;-9.852585
431584624;431584556;0.085557796;0.2524079;-9.789124
431632643;431632573;0.13501778;0.22370864;-9.808307
431685030;431684960;0.20383257;0.3039859;-9.775202
431733049;431732979;0.13241456;0.2617286;-9.807525
431785434;431785365;0.14036885;0.27261463;-9.816424
431838303;431838235;0.13726945;0.3881062;-9.845027
431886324;431886257;0.15356947;0.053042233;-10.085872
431934348;431934276;0.14766039;0.15483576;-9.748267
431982374;431982295;0.041103005;-0.03844405;-9.800374
432034757;432034682;0.04540999;0.024838395;-9.733491
432087138;432087068;0.085396774;-0.256552;-9.790001
432135161;432135093;0.030312145;-0.4165452;-9.81411
432187554;432187483;-0.018192073;-0.38822955;-9.8555355
432235572;432235504;-0.03828721;-0.3830028;-9.910667
432283592;432283525;0.008538961;-0.43721133;-9.825
432331614;432331547;0.21025167;-0.37393707;-9.852678
432384001;432383935;0.35459396;-0.25803572;-9.802664
432436492;432436322;0.56167436;-0.48529896;-9.813641
432484413;432484345;0.44458693;-0.71358997;-9.828812
432536802;432536735;0.32708147;-0.6359024;-9.8168955
432584902;432584758;0.33360344;-0.72002316;-9.776671
432632854;432632787;0.15864736;-0.68363553;-9.920247
432685242;432685176;0.19201627;-0.7910212;-9.896692
432737636;432737567;0.31205365;-0.730357;-9.840619
432785661;432785592;0.37326738;-0.62723625;-9.732996
432833676;432833611;0.3873973;-0.6107215;-9.782363
432886063;432885993;0.37949902;-0.66607577;-9.780249
432934083;432934014;0.3222562;-0.6155155;-9.79058
432983084;432983005;0.3142705;-0.4109998;-9.771384
433035457;433035391;0.38692367;-0.31234154;-9.739946
433087865;433087776;0.38239366;-0.20845704;-9.75614
433135861;433135796;0.42452124;-0.20714863;-9.760693
433183892;433183820;0.28885174;-0.48949996;-9.845671
433236279;433236208;0.2960972;-0.46800113;-9.920294
433284303;433284230;0.2379713;-0.2986446;-9.950699
433332317;433332251;0.2475118;-0.35572785;-10.040121
433384719;433384637;0.26553634;-0.10581404;-9.996396
433437168;433437021;0.48899567;-0.16711327;-9.889657
433485190;433485038;0.41833013;-0.04212687;-9.940429
433533174;433533058;0.19399197;-0.22840825;-9.937059
433585609;433585446;0.287304;-0.047508728;-9.791622
433633646;433633464;0.62585837;-0.12723151;-9.694761
433685924;433685848;0.626913;-0.031668827;-9.91974
433734034;433733863;0.8534637;0.061449576;-9.50781
433786317;433786244;0.51838917;-0.07029306;-9.807906
433834332;433834262;0.3819997;-0.060034014;-9.879566
433882353;433882276;0.42907506;0.01839767;-9.885459
433934726;433934658;0.73763067;0.07930449;-9.657464
433987108;433987033;0.6942267;0.06448431;-9.841472
434035116;434035048;0.8669955;-0.0580248;-9.878531
434083126;434083060;1.2919265;0.03379547;-9.437418
434136085;434135925;1.3262788;-0.06829822;-9.436187
434184014;434183943;1.2783418;-0.13771439;-9.9057045
434232022;434231956;1.5945164;-0.31666803;-9.742835
434284555;434284335;1.4942291;-0.12482831;-9.811946
434336813;434336719;1.9468685;-0.32826316;-9.599347
434384815;434384736;2.394522;-0.3871322;-9.380065
434433013;434432754;2.4553375;-0.41720968;-9.442427
434485203;434485135;2.4147525;-0.5532971;-9.352036
434537585;434537516;1.9307162;-0.49080172;-9.619085
434585600;434585533;1.3836377;-0.25507307;-9.502453
434637985;434637917;0.56903374;-0.32601634;-9.808004
434686004;434685936;0.8612625;0.19891496;-9.880286
434734021;434733956;0.31614682;0.5642376;-9.748538
434782039;434781974;-0.53723013;0.9861834;-10.059281
434834430;434834359;-0.4105443;0.61518574;-10.26112
434886851;434886743;-0.17839593;-0.8906564;-9.684195
434934838;434934771;0.32655028;-1.3701041;-9.73537
434987221;434987155;0.9202539;-0.7742495;-9.14523
435035286;435035175;0.6715608;0.07711938;-9.879355
435083260;435083193;0.5994019;1.3198798;-9.855321
435135642;435135576;0.2790778;1.6105596;-10.000595
435188031;435187963;-0.028978663;1.2100168;-10.1010275
435236048;435235983;0.37545234;1.0995561;-9.698352
435284674;435284494;0.5887777;0.5253088;-9.52729
435336957;435336880;0.53060657;0.17136334;-9.637659
435384990;435384901;0.3845887;-0.12697199;-9.689832
435433001;435432922;0.11925654;-0.3189546;-9.970421
435485385;435485305;-0.09145131;-0.004927338;-10.152617
435537756;435537690;-0.22221518;-0.28394005;-10.185957
435585775;435585708;-0.01337694;0.045503218;-9.861483
435633790;435633724;0.35237145;-0.02371048;-9.843326
435686171;435686104;0.3016366;-0.07680355;-9.781511
435734195;435734124;0.5131684;-0.00083680276;-9.972235
435786574;435786509;0.23005472;-0.07920515;-9.651707
435834598;435834532;0.2951875;0.3038109;-10.148034
435886992;435886920;-0.042989783;0.42998454;-10.033121
435935014;435934943;0.27380905;0.49317002;-9.778915
435983036;435982969;0.24799557;0.47657156;-10.077045
436035428;436035361;0.15009017;0.34084627;-9.55134
436083452;436083387;-0.08695283;0.27703926;-9.544209
436135847;436135779;-0.35100284;0.25467733;-9.4973135
436183871;436183802;-0.3832961;0.08241008;-9.472397
436236267;436236193;-0.8431004;0.18679053;-9.880227
436284284;436284217;-0.7514352;-0.14923325;-10.015154
436336667;436336599;-0.7868772;-0.15428641;-10.108455
436384695;436384618;-0.1844593;0.041521396;-9.878156
436437550;436437482;-0.06689189;-0.13676822;-9.780681
436485562;436485497;0.12903832;-0.51365143;-10.149755
436533578;436533513;0.4748125;-0.0020449667;-10.0672245
436585964;436585895;0.61045814;-0.36174628;-9.459226
436633984;436633911;0.3615737;0.090420425;-9.974996
436681996;436681929;0.42317075;0.5291739;-9.661576
436734376;436734308;0.23447394;0.4192314;-9.677148
436786802;436786691;-0.0449005;0.697059;-9.941671
436834780;436834711;-0.4153075;0.5986811;-9.698324
436882800;436882731;-0.85470784;0.47222254;-10.430974
436935235;436935120;-0.8209622;0.25760546;-10.162553
436983211;436983143;-0.937639;0.15525258;-9.648201
437035604;437035535;-1.1426169;0.059362587;-10.306095
437087991;437087924;-0.7758022;-0.28600636;-10.493299
437136010;437135943;0.20665553;0.021431336;-9.54326
437184027;437183961;0.13180208;-0.18533091;-9.997719
437232103;437231981;0.59890586;0.11952109;-9.965802
437284434;437284368;0.9384533;0.3031324;-9.619334
437336821;437336755;0.8501331;0.28330925;-9.813503
437384841;437384774;0.75953686;0.6801636;-9.609765
437437222;437437156;0.37817365;0.67425305;-9.564147
437485246;437485172;-0.37480927;0.28346565;-9.616059
437533261;437533194;-0.7119623;0.40689647;-9.702514
437581773;437581701;-1.0494944;0.24242164;-9.922237
437634156;437634088;-1.6494615;0.04705957;-10.454873
437686544;437686476;-1.1796129;0.002265176;-9.897387
437734574;437734501;-1.2799752;-0.11435096;-10.037568
437786953;437786886;-0.87870485;-0.21040013;-10.119362
437834973;437834906;-0.17108369;-0.008483405;-10.229743
437882991;437882926;0.47177956;0.09618359;-9.982605
437935376;437935311;1.383216;-0.0007930238;-9.499318
437987773;437987697;1.6502743;0.14361596;-9.543362
438035788;438035721;1.2073241;0.45731264;-9.6297245
438083810;438083744;1.2306613;0.46110106;-9.388743
438136207;438136131;0.6876191;0.31289926;-9.420969
438184219;438184153;-0.3581385;0.26858217;-9.386678
438236607;438236540;-0.7770307;-0.02719661;-9.625541
438284641;438284562;-1.8521945;-0.1645414;-10.341637
438337016;438336947;-1.8996862;-0.28047106;-9.765012
438385032;438384967;-2.1833775;-0.0019248076;-10.287557
438433062;438432987;-1.7657068;-0.2660493;-9.92331
438485444;438485377;-1.2550938;0.13987316;-10.192739
438533461;438533393;-0.090192065;0.64384925;-9.431502
438585846;438585780;0.8844942;0.4026842;-9.689489
438633873;438633806;1.4580038;0.70433193;-9.262674
438686260;438686193;2.0307987;0.63221085;-9.159815
438734770;438734701;1.9511454;0.43803275;-9.450183
438782791;438782721;1.6855096;0.30032244;-9.311937
438835183;438835103;0.8868723;0.35229564;-9.328066
438887554;438887484;0.15882714;0.31895858;-9.799763
438935573;438935503;-0.9827989;0.17504872;-9.850853
438983620;438983521;-2.162728;-0.13384551;-10.200093
439035972;439035906;-2.6667445;-0.09084453;-10.528885
439083997;439083930;-2.6017456;-0.39803708;-10.348837
439132046;439131953;-2.0932014;0.21947229;-10.243333
439184408;439184343;-1.5276747;0.26446265;-9.579648
439236798;439236729;-0.31620264;0.35131654;-9.945513
439284822;439284754;1.1426286;0.5218166;-9.462761
439332847;439332772;2.1473053;0.6988399;-9.089675
439385217;439385150;2.6171172;0.5784208;-9.179079
439433234;439433166;2.7259746;0.0035415145;-9.331945
439485617;439485549;2.3525343;0.28577837;-9.384549
439537997;439537931;1.6051732;0.7135897;-9.336906
439586013;439585947;0.61153805;0.6775154;-9.324342
439634034;439633965;0.03456602;0.6049185;-9.580686
439682044;439681978;-1.1455438;0.6324179;-9.527583
439734454;439734355;-2.0656538;0.15956411;-9.785874
439786806;439786733;-2.7033932;0.19266199;-10.265214
439834815;439834746;-2.459977;-0.32452258;-10.274962
439887686;439887613;-2.2074351;-0.5890505;-10.115413
439935695;439935629;-1.7304581;-0.30755153;-10.500444
439983714;439983647;-0.448636;-0.28125355;-9.883702
440031727;440031661;0.07547735;0.080648;-9.879833
440088477;440088405;1.1006793;-0.38981137;-9.2393265
440136485;440136417;2.1825392;0.11884943;-9.425148
440184499;440184434;2.6328795;-0.19778009;-9.228133
440236885;440236816;3.5892148;0.18696807;-8.451384
440284902;440284835;4.5244184;0.5853389;-8.560545
440332921;440332853;5.801408;0.87735015;-7.1872277
440385302;440385235;21.475983;2.832643;-0.98019946
440437690;440437621;5.8497796;1.6515411;-6.644227
440485713;440485644;3.4206202;0.4933178;-7.582663
440533732;440533664;8.384934;5.5913386;-6.8114934
440586116;440586051;3.0973847;3.7029686;-9.038625
440634149;440634068;4.9325304;1.2213012;-6.529737
440686518;440686450;4.597557;1.6397973;-8.157804
440734540;440734471;5.0913615;3.2379665;-7.275318
440786935;440786858;5.259421;2.5330813;-7.8683357
440834949;440834880;5.764701;3.4274442;-7.5507393
440882969;440882901;5.97142;4.161632;-6.796313
440935365;440935286;5.738704;2.0319858;-7.8676047
440984346;440984278;5.941904;2.0600336;-6.592349
441032381;441032298;10.488024;-0.19665712;-5.334325
441084755;441084687;3.693277;2.7268975;-6.0498176
441137149;441137074;5.8176794;7.30462;-5.519142
441185165;441185097;6.2971673;1.8641845;-6.893652
441233187;441233118;8.936231;2.9869635;-5.827579
441285580;441285507;6.5071745;1.3103458;-5.6870008
441333596;441333529;7.933606;2.5482395;-5.1377587
441385998;441385920;7.1496067;1.7326226;-6.343598
441434015;441433945;6.524658;2.4198978;-7.0070963
441486400;441486334;7.0236354;3.4657369;-6.5477247
441534418;441534352;6.1997576;3.1485121;-6.8690357
441582448;441582369;5.2094965;3.6874733;-6.668967
441634818;441634749;4.0734286;4.4473705;-7.579837
441687194;441687127;2.317087;5.418962;-9.634576
441735208;441735140;0.5365604;5.4407887;-10.080031
441783218;441783152;0.38804218;3.2319293;-10.30961
441835603;441835535;0.53802645;0.5866446;-9.006631
441883621;441883552;1.4496453;-1.0334378;-9.603383
441936000;441935933;1.0801426;-3.1518853;-9.9670105
441988383;441988315;0.4476754;-3.7040532;-9.8858
442036404;442036332;0.5073145;-2.607589;-9.597914
442084414;442084349;1.1650405;-1.3490891;-8.833358
442132917;442132851;1.6270521;0.058440253;-9.56824
442185305;442185237;1.3472649;1.4948791;-8.842005
442233322;442233257;1.2481487;2.1255314;-9.823722
442285710;442285643;1.1639655;3.2488132;-9.455378
442338101;442338027;0.9971905;2.800005;-9.536416
442386117;442386049;0.08423096;1.9936255;-9.306879
442434152;442434070;-0.048820212;0.15582156;-9.878634
442482161;442482093;-0.06470461;-1.3091983;-9.459137
442534542;442534477;0.1765052;-2.0750391;-9.232486
442586926;442586860;0.34281898;-1.7273645;-10.025579
442634954;442634878;0.696531;-1.6139475;-9.906603
442687326;442687261;0.92285687;-0.38956195;-9.738403
442735347;442735281;0.9003245;0.5723035;-10.122945
442783375;442783297;0.61156714;1.8816941;-9.837539
442831382;442831315;0.4545564;2.7729323;-10.150614
442888132;442888065;0.4412375;2.5813067;-9.799479
442936152;442936083;0.23696768;2.3578687;-9.817607
442984169;442984104;0.3476541;1.617704;-10.007151
443036553;443036488;0.6298333;0.69458795;-9.45853
443084576;443084508;0.16251698;-0.6796185;-9.83056
443132598;443132528;0.06626028;-0.77654624;-9.9974575
443184978;443184912;0.0923654;-1.293638;-10.204061
443237364;443237291;0.17977598;-1.3330843;-10.025273
443285855;443285788;0.1474096;-0.56255144;-10.232143
443333962;443333800;0.48733163;0.37783334;-10.077038
443386246;443386180;0.4052146;1.5898538;-9.05114
443434264;443434198;0.4848713;2.2022076;-9.435016
443486650;443486584;0.5306266;2.277096;-9.945948
443534669;443534602;0.36368635;2.036308;-9.698505
443587055;443586987;-0.058002282;1.5177443;-9.67766
443635077;443635008;0.07911764;0.34147358;-9.717695
443683092;443683025;0.19792579;-0.5207436;-9.664654
443735484;443735409;-0.14737897;-1.3839345;-9.813238
443783497;443783428;0.15087797;-1.2030652;-9.780358
443835885;443835816;0.17690858;-0.84987473;-9.962034
443883906;443883838;0.19312078;-0.5946942;-9.908556
443936346;443936222;0.05980016;0.5301499;-10.518538
443984311;443984243;0.35263336;1.5974345;-9.95918
444032331;444032264;0.49141374;1.9545935;-9.31809
