timestamp;timestamp_sample;q[0];q[1];q[2];q[3];delta_q_reset[0];delta_q_reset[1];delta_q_reset[2];delta_q_reset[3];quat_reset_counter
431333349;431333118;0.94620806;0.003807509;0.012889338;0.32327983;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431337830;431337617;0.9462047;0.0037316533;0.01293233;0.32328853;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431387361;431387150;0.9461494;0.0024573724;0.01251342;0.32347906;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431432359;431432137;0.9461406;0.00080603565;0.011561281;0.32354867;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431486296;431486074;0.9460636;-0.0021955709;0.010849163;0.32379204;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431535800;431535560;0.94598645;-0.005511193;0.01086803;0.3239769;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431585257;431585046;0.94588155;-0.008314724;0.0113696065;0.3242065;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431634805;431634579;0.94585794;-0.009910905;0.012121934;0.32420316;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431684240;431684018;0.94582117;-0.010934903;0.012458241;0.32426456;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431733750;431733504;0.9458434;-0.011182248;0.012178161;0.3242021;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431783232;431782990;0.94585377;-0.010906786;0.011753912;0.3241967;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431837233;431837021;0.9460277;-0.009123818;0.01132402;0.32375926;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431886672;431886462;0.9460293;-0.005959213;0.0112286415;0.3238318;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431936170;431935946;0.94625425;-0.0029805528;0.011458371;0.32320714;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
431985670;431985432;0.94628245;0.00087979814;0.012459775;0.32310015;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432035132;432034917;0.94634473;0.0047036656;0.013818289;0.32282904;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432084661;432084450;0.94648284;0.008787823;0.01539581;0.3222669;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432134097;432133889;0.9465144;0.011902089;0.016470691;0.32202104;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432188095;432187874;0.946587;0.013952325;0.017340926;0.3216795;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432237568;432237360;0.94659233;0.014905699;0.01895203;0.3215301;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432282550;432282347;0.94660556;0.014961289;0.021675246;0.32131678;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432332085;432331880;0.9465537;0.014245707;0.02589812;0.32118925;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432386032;432385817;0.9464297;0.014330203;0.030799853;0.32111818;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432435518;432435303;0.946381;0.017711086;0.03456215;0.32071018;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432484999;432484789;0.94640535;0.021799449;0.03611026;0.3202154;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432534518;432534322;0.94637823;0.025267191;0.035473537;0.3201119;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432583959;432583761;0.94634223;0.028064607;0.03394034;0.32015133;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432633473;432633248;0.9462924;0.030603822;0.03286223;0.3201785;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432682947;432682732;0.9462824;0.030991377;0.032865137;0.32017046;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432737005;432736764;0.94625527;0.028977638;0.033882752;0.320333;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432786417;432786203;0.9462442;0.026007028;0.034746606;0.32052818;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432835942;432835689;0.9462171;0.023643076;0.03525825;0.32073545;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432885446;432885174;0.9462345;0.020968685;0.03510326;0.3208869;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432934900;432934660;0.9462158;0.017714184;0.03438857;0.3212155;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
432984437;432984193;0.9461706;0.014486811;0.033685442;0.32158473;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
