timestamp;flag_armed;flag_multicopter_position_control_enabled;flag_control_manual_enabled;flag_control_auto_enabled;flag_control_offboard_enabled;flag_control_position_enabled;flag_control_velocity_enabled;flag_control_altitude_enabled;flag_control_climb_rate_enabled;flag_control_acceleration_enabled;flag_control_attitude_enabled;flag_control_rates_enabled;flag_control_allocation_enabled;flag_control_termination_enabled;source_id
431266044;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
431776498;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
432282751;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
432788496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
433294506;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
433802515;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
434308517;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
434814496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
435320515;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
435826498;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
436332494;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
436838496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
437344496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
437850540;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
438356735;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
438862518;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
439368496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
439874516;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
440380516;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
440886496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
441392778;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
441898497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
442404708;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
442910496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
443416495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
443922514;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
444428527;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
444936514;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
445442513;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
445948496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
446455628;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
446961497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
447467539;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
447973496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
448479539;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
448985655;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
449491610;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
449997496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
450503514;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
451009496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
451515629;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
452021495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
452527543;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
453033535;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
453539513;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
454045628;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
454551494;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
455057527;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
455563953;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
456069767;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
456575891;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
457081516;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
457587495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
458093515;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
458599495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
459107897;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
459613495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
460119497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
460625495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
461132497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
461638493;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
462144496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
462650856;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
463156506;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
463662581;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
464168518;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
464674529;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
465180496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
465686515;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
466192495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
466698528;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
468722529;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
469228495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
469735127;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
470241496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
470747629;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
471253496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
471760495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
472266519;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
472772545;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
473278516;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
473784512;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
474290647;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
474796495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
475302533;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
475808494;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
476314576;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
476820976;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
477326496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
477832712;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
478338495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
478844550;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
