timestamp;freefall;ground_contact;maybe_landed;landed;in_ground_effect;in_descend;has_low_throttle;vertical_movement;horizontal_movement;rotational_movement;close_to_ground_or_skipped_check;at_rest
431081772;0;1;1;1;0;0;1;0;0;0;1;0
432089468;0;1;1;1;0;0;1;0;0;0;1;0
433097255;0;1;1;1;0;0;1;0;0;0;1;0
434104987;0;1;1;1;0;0;1;0;0;0;1;0
434410863;0;1;0;0;0;0;1;0;0;0;1;0
434527845;0;0;0;0;0;0;0;0;0;1;1;0
434914926;0;1;0;0;0;0;1;0;0;1;1;0
435922476;0;1;0;0;0;0;1;0;0;0;1;0
436930385;0;1;0;0;0;0;1;0;0;0;1;0
437937780;0;1;0;0;0;0;1;0;0;1;1;0
438945948;0;1;0;0;0;0;1;0;0;1;1;0
439953273;0;1;0;0;0;0;1;0;0;1;1;0
440961111;0;1;0;0;0;0;1;0;0;1;1;0
441365797;0;0;0;0;0;0;0;0;0;1;1;0
442373442;0;0;0;0;0;0;0;0;0;1;1;0
443381300;0;0;0;0;0;0;0;0;0;1;1;0
444389073;0;0;0;0;0;0;0;0;0;0;1;0
445396730;0;0;0;0;0;0;0;0;0;1;1;0
446404455;0;0;0;0;0;0;0;0;0;0;1;0
447412202;0;0;0;0;0;0;0;0;0;0;1;0
448419838;0;0;0;0;0;0;0;0;0;0;1;0
449427588;0;0;0;0;0;0;0;0;0;0;1;0
450435326;0;0;0;0;0;0;0;0;0;0;1;0
451442995;0;0;0;0;0;0;0;0;0;0;1;0
452443282;0;0;0;0;0;0;0;0;0;0;1;0
453449389;0;0;0;0;0;0;0;0;0;0;1;0
454457131;0;0;0;0;0;0;0;0;0;0;1;0
455465185;0;0;0;0;0;0;0;0;0;0;1;0
456472403;0;0;0;0;0;0;0;0;0;0;1;0
457480596;0;0;0;0;0;0;0;0;0;0;1;0
458488046;0;0;0;0;0;0;0;0;0;0;1;0
459496005;0;0;0;0;0;0;0;0;0;0;1;0
460503478;0;0;0;0;0;0;0;0;0;0;1;0
461511459;0;0;0;0;0;0;0;0;0;0;1;0
462518977;0;0;0;0;0;0;0;0;0;1;1;0
463526852;0;0;0;0;0;0;0;0;0;1;1;0
464534361;0;0;0;0;0;0;0;0;0;1;1;0
465542012;0;0;0;0;0;0;0;0;0;0;1;0
466549599;0;0;0;0;0;0;0;0;0;1;1;0
468511121;0;0;0;0;0;0;0;0;0;1;1;0
469518925;0;0;0;0;0;0;0;0;0;1;1;0
470526665;0;0;0;0;0;0;0;0;0;1;1;0
471534403;0;0;0;0;0;0;0;0;0;0;1;0
472542130;0;0;0;0;0;0;0;0;0;0;1;0
473549768;0;0;0;0;0;0;0;0;0;0;1;0
474557507;0;0;0;0;0;0;0;0;0;1;1;0
475565212;0;0;0;0;0;0;0;0;0;1;1;0
476572861;0;0;0;0;0;0;0;0;0;0;1;0
477580871;0;0;0;0;0;0;0;0;0;0;1;0
478588376;0;0;0;0;0;0;0;0;0;0;1;0
479596272;0;0;0;0;0;0;0;0;0;0;1;0
480603743;0;0;0;0;0;0;0;1;0;0;1;0
481611747;0;0;0;0;0;0;0;1;0;0;1;0
482619170;0;0;0;0;0;0;0;1;0;0;1;0
483627132;0;0;0;0;0;0;0;1;0;0;1;0
484634644;0;0;0;0;0;0;0;0;0;1;1;0
485642496;0;0;0;0;0;0;0;0;0;0;1;0
486649957;0;0;0;0;0;0;0;0;0;0;1;0
487657590;0;0;0;0;0;0;0;0;0;0;1;0
488665538;0;0;0;0;0;0;0;0;0;0;1;0
489673131;0;0;0;0;0;0;0;0;0;0;1;0
490680878;0;0;0;0;0;0;0;0;0;1;1;0
491688586;0;0;0;0;0;0;0;0;0;0;1;0
492696291;0;0;0;0;0;0;0;0;0;1;1;0
493703904;0;0;0;0;0;0;0;0;0;0;1;0
494711497;0;0;0;0;0;0;0;0;0;0;1;0
495719424;0;0;0;0;0;0;0;0;0;0;1;0
496726979;0;0;0;0;0;0;0;0;0;1;1;0
497734950;0;0;0;0;0;0;0;0;0;0;1;0
498742514;0;0;0;0;0;0;0;0;0;0;1;0
499750273;0;0;0;0;0;0;0;0;0;0;1;0
500757841;0;0;0;0;0;0;0;0;0;0;1;0
501765550;0;0;0;0;0;0;0;0;0;1;1;0
502773352;0;0;0;0;0;0;0;0;0;0;1;0
503781031;0;0;0;0;0;0;0;0;0;0;1;0
504788730;0;0;0;0;0;0;0;0;0;0;1;0
505796360;0;0;0;0;0;0;0;0;0;1;1;0
506804027;0;0;0;0;0;0;0;0;0;0;1;0
507811931;0;0;0;0;0;0;0;0;0;1;1;0
508819515;0;0;0;0;0;0;0;0;0;1;1;0
509827294;0;0;0;0;0;0;0;0;0;1;1;0
510834871;0;0;0;0;0;0;0;0;0;1;1;0
511842695;0;0;0;0;0;0;0;0;0;0;1;0
512850301;0;0;0;0;0;0;0;0;0;1;1;0
513858003;0;0;0;0;0;0;0;0;0;1;1;0
514865654;0;0;0;0;0;0;0;0;0;1;1;0
515873578;0;0;0;0;0;0;0;0;0;1;1;0
516881576;0;0;0;0;0;0;0;0;0;1;1;0
517888823;0;0;0;0;0;0;0;0;0;1;1;0
518896946;0;0;0;0;0;0;0;0;0;1;1;0
519904163;0;0;0;0;0;0;0;0;0;0;1;0
520912371;0;0;0;0;0;0;0;0;0;0;1;0
521919853;0;0;0;0;0;0;0;0;0;1;1;0
522927600;0;0;0;0;0;0;0;0;0;0;1;0
523935011;0;0;0;0;0;0;0;0;0;0;1;0
524943129;0;0;0;0;0;0;0;0;0;0;1;0
525950490;0;0;0;0;0;0;0;0;0;0;1;0
526958298;0;0;0;0;0;0;0;0;0;0;1;0
527961366;0;0;0;0;0;0;0;0;0;1;1;0
528964616;0;0;0;0;0;0;0;0;0;1;1;0
529972220;0;0;0;0;0;0;0;0;0;0;1;0
530980159;0;0;0;0;0;0;0;0;0;0;1;0
531987693;0;0;0;0;0;0;0;0;0;0;1;0
532995358;0;0;0;0;0;0;0;0;0;0;1;0
534003269;0;0;0;0;0;0;0;0;0;1;1;0
535010810;0;0;0;0;0;0;0;0;0;1;1;0
536018489;0;0;0;0;0;0;0;0;0;0;1;0
537026201;0;0;0;0;0;0;0;0;0;0;1;0
538033817;0;0;0;0;0;0;0;0;0;1;1;0
539041763;0;0;0;0;0;0;0;0;0;0;1;0
540049447;0;0;0;0;0;0;0;0;0;0;1;0
541057186;0;0;0;0;0;0;0;0;0;0;1;0
542064675;0;0;0;0;0;0;0;0;0;0;1;0
543072533;0;0;0;0;0;0;0;0;0;0;1;0
544080264;0;0;0;0;0;0;0;0;0;0;1;0
545087812;0;0;0;0;0;0;0;0;0;0;1;0
546095899;0;0;0;0;0;0;0;0;0;1;1;0
547103381;0;0;0;0;0;0;0;0;0;0;1;0
548111295;0;0;0;0;0;0;0;0;0;1;1;0
549118716;0;0;0;0;0;0;0;0;0;1;1;0
550126585;0;0;0;0;0;0;0;0;0;0;1;0
551133961;0;0;0;0;0;0;0;0;0;0;1;0
552142117;0;0;0;0;0;0;0;0;0;1;1;0
553149367;0;0;0;0;0;0;0;0;0;1;1;0
554157580;0;0;0;0;0;0;0;0;0;1;1;0
555165024;0;0;0;0;0;0;1;0;0;1;1;0
556172717;0;0;0;0;0;0;0;0;0;0;1;0
557180146;0;0;0;0;0;0;0;0;0;1;1;0
558187995;0;0;0;0;0;0;0;0;0;0;1;0
559195605;0;0;0;0;0;0;0;0;0;0;1;0
560203464;0;0;0;0;0;0;0;0;0;1;1;0
561211094;0;0;0;0;0;0;0;0;0;0;1;0
562218675;0;0;0;0;0;0;0;1;0;1;1;0
563226503;0;0;0;0;0;0;0;0;0;1;1;0
564234054;0;0;0;0;0;0;0;0;0;1;1;0
565241927;0;0;0;0;0;0;0;0;0;0;1;0
566249673;0;0;0;0;0;0;0;0;0;1;1;0
